Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal "r - i" "r - J0660" "e(r - i)" "e(r - J0660)"
HYDRA-D-0002 iDR3.HYDRA-D-0002.000032 156.1366542698264 -35.342667924282686 2.9419925 174 2.7415805 12.0 0 18.330727 19.44981 18.096573 17.44361 16.963053 15.967049 16.46397 15.549914000000001 14.936276000000001 16.090406 14.615817999999999 14.963345 0.019821359 0.07405104 0.042316396 0.023186365 0.016223582 0.0038739613 0.0102324365 0.0028951172999999997 0.00255691 0.004064287 0.0034198917 0.0029169677 -0.5404920000000004 0.6136379999999999 0.004990003306524785 0.0038625759447367875
HYDRA-0017 iDR3.HYDRA-0017.000100 159.7456097449217 -24.61822082802332 6.4657593 399 2.8504642999999996 12.0 0 19.393787 18.066679999999998 18.889587 17.827552999999998 17.42585 14.969037 16.687262 13.867701 13.455017000000002 14.250694000000001 12.990806 13.111298999999999 0.05769594 0.033099893 0.09335109 0.040311623 0.02903483 0.003157956 0.01545036 0.0017410432000000001 0.0017861181 0.00223182 0.002152438 0.0015608366000000001 -0.3829930000000008 0.4126839999999987 0.002830592153007254 0.0024942833222017604
HYDRA-0026 iDR3.HYDRA-0026.018365 159.73480460089112 -25.63102146470607 4.475069 91 3.0450863999999997 12.0 0 17.916301999999998 17.657923 17.401556 16.675138 16.412342000000002 20.655086999999998 15.642656 15.674691000000001 14.939625 16.94688 14.642544000000001 18.470123 0.017243448999999998 0.021782107999999998 0.027531488 0.01765426 0.013843841 0.16653223 0.007571537 0.0035230056 0.002795894 0.008251744 0.0036813302 0.04114028 -1.2721889999999991 0.7350660000000016 0.008972337905984559 0.004497620672852187
HYDRA-0035 iDR3.HYDRA-0035.047070 158.59916579486548 -26.49149057090181 6.860773 2224 3.7555358 12.0 0 18.051056 17.55968 17.303822 17.134777 16.925704999999997 16.509552 16.26662 15.670658 15.214592999999999 15.225252 14.984678 14.874157 0.021214005 0.022599222000000002 0.028381472 0.021825743999999998 0.01782075 0.005831635 0.009804293 0.003271118 0.0030524271999999996 0.0027201404 0.004293661 0.0028823103999999996 0.4454060000000002 0.4560650000000006 0.004254336230910312 0.0044740948560824945
HYDRA-0039 iDR3.HYDRA-0039.015807 164.69658314642638 -27.092435835113548 2.730624 1046 2.4961398 12.0 4 15.037268 14.175274 13.764813 13.442842 13.31088 13.533442 13.030563 13.195748000000002 12.89354 13.080362 12.797226 13.0335 0.0037788229999999997 0.0035758778 0.003943383 0.0028999886 0.0025472597 0.0013175023 0.0019324715 0.0010482507000000002 0.0010177373 0.0010138444 0.001456456 0.001197239 0.11538600000000265 0.30220800000000203 0.0014583243800546744 0.0014610334499462292
HYDRA-0044 iDR3.HYDRA-0044.058924 158.00335656245485 -27.336772807012586 2.5089161 549 2.7993376 12.0 0 15.4522705 15.047241 14.882470999999999 14.391809 14.295816 14.095478 13.940781 14.235207999999998 13.661328 13.6230135 13.645575 13.581198 0.004427772 0.005153065 0.0067192186 0.0046902583 0.0042995303 0.0017238639 0.0031233944 0.0016673679 0.0015654687 0.0012944804 0.0023065677 0.001567438 0.6121944999999975 0.5738799999999991 0.0021108754629145157 0.0022870959675164704
HYDRA-0048 iDR3.HYDRA-0048.001555 164.74857227330833 -28.73751150613579 2.0419888 344 2.6814442 12.0 0 17.84702 17.125496 16.618242000000002 15.989320999999999 15.782845000000002 15.662597 15.033863 14.846809 14.390042999999999 14.485879 14.050334 14.2686825 0.015290356000000001 0.015050383999999998 0.016404916000000002 0.0099216765 0.008490979000000001 0.003475909 0.005033348 0.002138842 0.0020875812 0.0018946817 0.0027483406 0.0021532024 0.36092999999999975 0.4567660000000018 0.0028573525937970784 0.002988752309502653
HYDRA-0048 iDR3.HYDRA-0048.074743 164.19579815623746 -27.341411793171805 2.5009707999999997 491 2.9592419999999997 12.0 0 14.9255905 15.041457000000001 15.717243 14.470734 16.012197 14.112048000000001 13.972769 15.389601 14.102675 13.662947 13.666504999999999 15.275064000000002 0.0032973890000000004 0.005057214 0.009994513 0.004639975300000001 0.009571516 0.0016731059 0.0030299707 0.0028176277000000003 0.001852154 0.001288088 0.00226208 0.003724572 1.726654 1.2869260000000011 0.0030980956330544885 0.0033718689617960084
HYDRA-0049 iDR3.HYDRA-0049.043611 149.6811639194094 -29.463706851408396 3.168911 395 3.0581338 12.0 0 16.377917999999998 15.95018 15.726601 15.446976000000001 15.351416 15.392279 15.535210999999999 15.29705 14.801029000000002 15.557445000000001 14.645603 14.902013 0.0067930444999999996 0.007799911 0.009739173 0.0072659985 0.0066586416 0.0029871909999999997 0.00610634 0.0026267627 0.0030067419 0.0031470129999999997 0.0036072289 0.0028952195000000003 -0.2603950000000008 0.49602099999999893 0.004099216157301331 0.0039925404362795
HYDRA-0050 iDR3.HYDRA-0050.074617 151.25273875731898 -28.733000482069787 2.890319 100 3.0642436 12.0 0 18.825706 19.580404 17.182568 19.972637 16.901491 19.971854999999998 20.84432 15.825851 16.00252 17.04206 19.753033 15.561257999999999 0.031551216 0.09379686400000001 0.023699239 0.18886323 0.01666524 0.062126253 0.31723976 0.0036310048 0.0045970725 0.007652282 0.13156775 0.004322412 -1.2162089999999992 -0.1766690000000004 0.008470042246951725 0.0058580945219311115
HYDRA-0052 iDR3.HYDRA-0052.069308 154.27610009272811 -28.839116497825195 2.651363 369 2.8102353 12.0 0 17.8952 17.162968 16.778301000000003 16.157822 15.964357000000001 15.833867999999999 15.260725 15.087891 14.683589999999999 14.76779 14.4020815 14.592260000000001 0.014973549 0.015805315 0.01854936 0.01128433 0.009562211999999999 0.0036622728 0.005775754 0.0024207635 0.0024468484 0.0022210532000000002 0.0033278088 0.0026026235000000003 0.3201010000000011 0.404301000000002 0.0032852965224104947 0.0034419708039893086
HYDRA-0057 iDR3.HYDRA-0057.049667 163.8426391474425 -29.22607669856623 4.1365913999999995 404 3.1826513 12.0 0 16.419674 16.044672 15.872244 15.529707 15.452986 15.667677 15.067862 15.129284 14.822161999999999 15.181804000000001 14.635798999999999 14.822307 0.006016296 0.007970088 0.010571241 0.0062878737 0.0057548475 0.0028010953999999997 0.0040241256 0.0018955487 0.0018739182 0.0020682867999999997 0.0025589573000000003 0.002113667 -0.05252000000000123 0.30712200000000145 0.002805515132934757 0.0026654594902873557
