# RA_1     DEC_1    Field      ID                     RA_2               DEC_2               FWHM               ISOarea KRON_RADIUS        nDet_magPStotal PhotoFlagDet U_PStotal          F378_PStotal       F395_PStotal       F410_PStotal       F430_PStotal       G_PStotal          F515_PStotal       R_PStotal          F660_PStotal       I_PStotal          F861_PStotal       Z_PStotal          e_U_PStotal          e_F378_PStotal       e_F395_PStotal       e_F410_PStotal e_F430_PStotal       e_G_PStotal          e_F515_PStotal       e_R_PStotal          e_F660_PStotal       e_I_PStotal           e_F861_PStotal       e_Z_PStotal          r_-_i                r_-_J0660           e(r_-_i)             e(r_-_J0660)         P(GoodPho)         P(BadPho)             GroupID GroupSize Separation        
  167.4902 -37.5392 HYDRA-0093 iDR3.HYDRA-0093.084331 162.8380310801533  -34.43006283683529  80.85167           5489    4.0455456          12.0            3            19.046247          18.448317000000003 18.4464            18.312693          18.236622          18.091347          18.033967999999998 17.764439000000003 17.359629          17.59658           17.49541           17.44175           0.03873215           0.039151732          0.062047973          0.046291005    0.041813605          0.013421083          0.02925085           0.00990822           0.0095863985         0.010225241999999999  0.019848218          0.01387755           0.16785900000000353  0.4048100000000012  0.014238272280265045 0.013786655133468823 0.7162127714074282 0.2837872285925717    1       29        17572.241288666297
  167.4902 -37.5392 HYDRA-0101 iDR3.HYDRA-0101.044159 161.66158103466327 -36.350285015786476 13.465432          107     3.7330949999999996 12.0            3            18.63697           17.986519          18.105857999999998 18.129036          18.21971           18.033531          17.488062          17.866413          16.92408           17.956715          17.920206          17.791662          0.024568753          0.024910696          0.04061988           0.036637492    0.036355677999999995 0.01316053           0.018974843999999998 0.010999729          0.007588151          0.014144936           0.028606563999999998 0.020721657          -0.09030199999999766 0.9423330000000014  0.017918517028971372 0.013363161065864692 0.784092741314241  0.215907258685759     1       29        17304.21794757877 
  167.4902 -37.5392 HYDRA-0101 iDR3.HYDRA-0101.047357 161.6602141109401  -36.353314928386006 42.279613          2208    4.4655575999999995 12.0            3            19.32901           18.707905          18.58377           18.484749          18.336576          18.220222          17.976553          17.739276999999998 17.404629          17.500912          17.325048000000002 17.223228          0.038350116000000004 0.038761944          0.055671457          0.04627905     0.03922006           0.014682771          0.025281996          0.010195777          0.009963805          0.0103319             0.018321413999999998 0.01333239           0.23836499999999816  0.33464799999999784 0.014515578742982623 0.014255920830018452 0.6687204564978285 0.3312795435021715    1       29        17305.01315242547 
  167.4902 -37.5392 HYDRA-0110 iDR3.HYDRA-0110.006751 163.59861406918498 -38.33071141066951  9.718015           1037    3.8069036          12.0            2            18.570332          18.10799           17.894327          17.791529          17.671032          17.475932999999998 17.241660999999997 16.952618          16.580735999999998 16.66603           16.481486999999998 16.405251999999997 0.024960278          0.029048853          0.037595473          0.031744134    0.02769653           0.0100240465         0.017222803000000002 0.00657898           0.0062878756         0.0061566806000000005 0.010930438999999998 0.0076642134         0.28658800000000184  0.37188200000000293 0.009010421402510337 0.009100569070199696 0.5502698134505202 0.44973018654947977   1       29        11410.059113432255
  167.4902 -37.5392 HYDRA-0120 iDR3.HYDRA-0120.056438 164.02881239761714 -39.005912940614216 10.245368          436     4.0679216          12.0            3            19.530502          18.847694          18.89796           18.74267           18.618658          18.397923000000002 18.118471          17.890297          17.492487          17.672638          17.55264           17.43668           0.054855626          0.05065814           0.077677146          0.058000054    0.048476744          0.014415764          0.028506722          0.010476378          0.0112058185         0.011188704499999999  0.042348277000000004 0.015396265          0.21765900000000116  0.3978099999999998  0.015327804943539835 0.01534030196097281  0.7074786699691289 0.2925213300308711    1       29        11115.621646506024
  167.4902 -37.5392 HYDRA-0127 iDR3.HYDRA-0127.110577 163.33732295900455 -39.861721986442    20.542263000000002 1925    4.1234245000000005 12.0            3            19.299847          18.943258          18.703325          18.616776          18.342201          18.314173          18.079435          17.830776          17.491962          17.616352          17.448807000000002 17.413803          0.033938754          0.03958627           0.051180712999999996 0.04406273     0.035808004          0.014018048          0.02475524           0.009634166          0.009379992          0.009629851           0.016324852          0.012518778000000001 0.21442400000000106  0.3388139999999993  0.013621717395312422 0.013446241275375807 0.6880163379761775 0.31198366202382255   1       29        14351.431681666074
  167.4902 -37.5392 HYDRA-0111 iDR3.HYDRA-0111.040088 165.62354763842322 -37.79305723601779  9.6189             301     5.495046           12.0            2            19.9051            19.457945          19.475521          19.15885           19.111637          19.034435          18.803682          18.784122          18.34787           18.689896          18.560429          18.592018          0.067787275          0.07874087           0.14010467           0.08598133     0.0759999            0.023396276          0.04881107           0.019963888          0.0197271            0.022631336           0.09880039           0.035890598          0.09422599999999903  0.43625199999999964 0.030178372938603565 0.02806626620137677  0.8169448374937807 0.18305516250621934   1       29        5397.244312911983 
  167.4902 -37.5392 HYDRA-0111 iDR3.HYDRA-0111.063639 164.33402087268985 -37.40814523403678  12.413641          92      3.852341200000001  12.0            3            19.994576          19.419765          19.43319           19.259844          19.230846          18.987347          18.89409           18.588356          18.176723000000006 18.540783          18.461628          18.36554           0.07288127400000001  0.0763112            0.13509293           0.09326558     0.08361416           0.022617932          0.05228168           0.017522773000000002 0.017581455          0.020507282           0.0922723            0.030186733          0.047572999999999865 0.4116329999999948  0.02697399096605938  0.024822472349195077 0.8229808636602274 0.17701913633977256   1       29        9029.35919893234  
  167.4902 -37.5392 HYDRA-0085 iDR3.HYDRA-0085.028897 163.68363678401204 -33.74754421673303  8.712649           102     6.0049634          12.0            0            21.588863          20.918648          21.919312          20.988838          20.944036          20.352728          19.82252           19.432463          18.809502          18.822308          18.648848          18.585545          0.36560524           0.3758613            1.2766198999999998   0.46591046     0.42241547           0.07343146           0.1336289            0.03604043           0.025667207          0.030556943           0.045207135          0.043777082          0.6101549999999989   0.6229610000000001  0.047250813327287276 0.04424610841380007  0.7419231973188193 0.2580768026811807    1       29        17612.77799167298 
  167.4902 -37.5392 HYDRA-0093 iDR3.HYDRA-0093.018769 162.18830767973785 -35.407560682377095 9.564342           128     4.710482           12.0            2            20.186674          19.658472          19.592613          19.614716          19.435905          19.717102          19.110325          19.59019           18.787645          19.530716          19.59919           19.40365           0.09475986           0.09947582           0.15438873           0.13392021     0.10974701           0.044538993          0.06683816           0.036370397          0.024994565          0.044159178           0.11045765           0.068891674          0.05947399999999803  0.8025449999999985  0.057208729924490484 0.044130874197967504 0.9022599680403954 0.09774003195960461   1       29        17156.02176127138 
