# RA_1        DEC_1       Field          ID                         RA_2                 DEC_2                 FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal             e_F515_PStotal          e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal          e_Z_PStotal             r_-_i                    r_-_J0660             e(r_-_i)                e(r_-_J0660)           GroupID   GroupSize   Separation          
  54.621179   -35.45074   SPLUS-s24s32   iDR3.SPLUS-s24s32.031711   48.37104097368265    -30.195290352660518   10.658714999999999   2266      2.6264455            12.0              6              15.527332000000001   15.170929999999998   15.226481            14.656374            14.689263            14.575804000000002   14.312117            14.254052            13.882387            14.399671            14.793789000000002   14.549735            0.0061995275           0.006257131            0.008795796            0.005984066            0.005734252            0.00233296              0.0039864615999999995   0.0018302432000000001   0.0018235134            0.0020052497            0.004026287             0.0025329015            -0.14561899999999994     0.37166500000000013   0.0027149247743715353   0.00258360045113903    1         247         26735.864820526833  
  54.621179   -35.45074   SPLUS-s27s26   iDR3.SPLUS-s27s26.042437   41.43522004887448    -34.16157866528087    25.374851            491       3.1944442000000004   10.0              2              22.513168            25.66198             23.376732            23.246468            99.0                 17.099773000000003   99.0                 15.730912            14.688701000000002   15.336685000000001   14.569482999999998   14.520859            0.59553075             16.271889              3.5554454              2.8428962              21.32164               0.00846929              21.666033               0.0037111337            0.0025458705999999998   0.003122695             0.0036106182            0.0024804268            0.394226999999999        1.0422109999999982    0.004850127565569868    0.004500441139623987   1         247         39221.99685216846   
  54.621179   -35.45074   SPLUS-s30s23   iDR3.SPLUS-s30s23.011069   38.39285833594685    -39.04470809996566    13.995016            62622     3.7853942000000003   12.0              3              15.531504            15.3584              15.26707             15.219322            15.124456            15.056053            14.944111            14.596960999999999   13.969648000000001   14.516634            14.434546            14.274397            0.0057806247           0.0074234046           0.009645059000000001   0.007993564            0.007357501999999999   0.0030821695000000002   0.0057653952000000005   0.0018388323999999998   0.002033287             0.0022025353            0.0035141703999999998   0.0024013128            0.0803269999999987       0.6273129999999973    0.0028692274819253787   0.00274145228294398    1         247         48196.39031188013   
  54.621179   -35.45074   SPLUS-s32s22   iDR3.SPLUS-s32s22.023958   37.233421654804204   -40.74555984616921    34.52782             804       3.3956413            12.0              0              20.275055            19.24851             18.621010000000002   17.898258            17.40016             16.67109             16.174568            15.600147            14.872299            15.005298999999999   14.834307            14.7671              0.19018388             0.11659032             0.09919836             0.055951796            0.03660854             0.008800266             0.012358731999999999    0.0038289058000000003   0.003104393             0.002825892             0.004399049             0.0031004065999999998   0.5948480000000007       0.7278479999999998    0.004758800817531413    0.004929277383524145   1         247         52705.41968984764   
  54.621179   -35.45074   SPLUS-s24s35   iDR3.SPLUS-s24s35.030511   52.877670696850565   -30.214388032625184   12.950435            47        3.8469949            12.0              3              18.800758            18.099626999999998   18.023966            17.896545            17.967644            17.960136            17.799526            17.712372            17.440561            17.620232            17.648315            17.532848            0.042516645            0.043244585            0.06260937             0.060547896            0.05847018             0.022128496             0.03830057              0.013313529             0.012136184             0.013299401             0.026268106             0.018397788             0.092139999999997        0.2718109999999996    0.018818185921938436    0.018014910949424562   1         247         19573.60440423895   
  54.621179   -35.45074   SPLUS-s24s35   iDR3.SPLUS-s24s35.030662   52.874549161274146   -30.215355217936448   26.761238            680       4.8682303            12.0              3              18.329256            17.788870000000003   18.011892            17.795123999999998   17.966522            18.007095            18.023367            17.908234            17.038904000000002   18.067656            18.063953            17.986187            0.029427882000000002   0.03423269             0.062206212000000004   0.05595554             0.058608454000000004   0.023033129             0.045840077             0.015420466             0.009308671             0.018750085             0.036885455             0.02673137              -0.1594219999999993      0.8693299999999979    0.02427666491024624     0.018012277130984772   1         247         19572.78640946558   
  54.621179   -35.45074   SPLUS-s24s41   iDR3.SPLUS-s24s41.011980   63.22209217387361    -31.30837649675762    23.740633            1939      4.356058999999999    12.0              3              18.485346            17.878777            18.14251             17.98536             17.92085             17.825829000000002   17.64943             17.506422            16.917782            17.44765             17.411116            17.332027            0.022334023999999997   0.024144216            0.040048365            0.030990142000000002   0.029587349            0.011211222             0.020680498000000002    0.009170666             0.007783976             0.010169788             0.018677568000000002    0.0151636405            0.05877200000000116      0.5886400000000016    0.013694002440795022    0.012028773721877554   1         247         29830.345811788367  
  54.621179   -35.45074   SPLUS-s25s31   iDR3.SPLUS-s25s31.021159   48.139082441531365   -32.387688729492424   12.42956             32823     5.52842              12.0              7              20.140198            19.825642000000002   19.934166            18.926609            18.451168            17.311903            17.088104            16.260673999999998   15.78175             15.883970000000001   15.5476055           15.723968            0.06945177             0.088488944            0.15745583             0.06399002             0.044932686            0.008849461999999999    0.0153844915            0.004562811             0.0043303813            0.0038561795            0.0058458419999999995   0.0044746264            0.3767039999999966       0.47892399999999746   0.00597405762927855     0.006290583949452601   1         247         22276.44930835619   
  54.621179   -35.45074   SPLUS-s25s32   iDR3.SPLUS-s25s32.045652   48.929133834773005   -31.526558827545987   29.222316999999997   637       3.0298302            12.0              0              15.323679            14.935844            14.698118            14.501348499999999   14.393969            14.18786             14.172726999999998   17.597034            14.158413000000001   17.006691            14.064827            17.540855            0.0044298493           0.005288304000000001   0.0067491466           0.005467189            0.0050729923           0.0020153657999999997   0.0037004424            0.009261349             0.0018963626000000002   0.0070922845            0.0027091126000000003   0.014343136999999999    0.5903430000000007       3.4386209999999995    0.011665036850723672    0.0094535060379988     1         247         22165.15257094486   
  54.621179   -35.45074   SPLUS-s26s29   iDR3.SPLUS-s26s29.000230   45.386442264828005   -34.25963713788414    8.369833             253       3.8380754            12.0              2              18.3414              17.864267            17.991508            17.529522            17.413229            17.218636            17.784056            17.761803            17.186628            17.244282000000002   17.034184            17.20982             0.023247423            0.026046796            0.04231901             0.028720926            0.025947212999999997   0.009244538             0.026214352000000003    0.011221983999999999    0.008893154             0.009225561             0.014869522             0.013451997             0.5175209999999986       0.5751750000000015    0.014527350090810676    0.014318558340977349   1         247         27605.057273133487  
