# col1 Field_1      ID_1                     RA_1               DEC_1               FWHM_1             ISOarea_1 KRON_RADIUS_1      nDet_magPStotal_1 PhotoFlagDet_1 U_PStotal_1        F378_PStotal_1     F395_PStotal_1     F410_PStotal_1     F430_PStotal_1     G_PStotal_1        F515_PStotal_1     R_PStotal_1        F660_PStotal_1     I_PStotal_1        F861_PStotal_1     Z_PStotal_1        e_U_PStotal_1        e_F378_PStotal_1     e_F395_PStotal_1     e_F410_PStotal_1     e_F430_PStotal_1     e_G_PStotal_1         e_F515_PStotal_1      e_R_PStotal_1         e_F660_PStotal_1      e_I_PStotal_1         e_F861_PStotal_1      e_Z_PStotal_1        r_-_i_1                r_-_J0660_1         e(r_-_i)_1            e(r_-_J0660)_1       Field_2      ID_2                     RA_2               DEC_2               FWHM_2             ISOarea_2 KRON_RADIUS_2      nDet_magPStotal_2 PhotoFlagDet_2 U_PStotal_2        F378_PStotal_2     F395_PStotal_2     F410_PStotal_2     F430_PStotal_2     G_PStotal_2        F515_PStotal_2     R_PStotal_2        F660_PStotal_2     I_PStotal_2        F861_PStotal_2     Z_PStotal_2        e_U_PStotal_2        e_F378_PStotal_2     e_F395_PStotal_2     e_F410_PStotal_2     e_F430_PStotal_2     e_G_PStotal_2         e_F515_PStotal_2      e_R_PStotal_2         e_F660_PStotal_2      e_I_PStotal_2         e_F861_PStotal_2      e_Z_PStotal_2        r_-_i_2                r_-_J0660_2         e(r_-_i)_2            e(r_-_J0660)_2       Separation
  1    SPLUS-s24s32 iDR3.SPLUS-s24s32.031711 48.37104097368265  -30.195290352660518 10.658714999999999 2266      2.6264455          12.0              6              15.527332000000001 15.170929999999998 15.226481          14.656374          14.689263          14.575804000000002 14.312117          14.254052          13.882387          14.399671          14.793789000000002 14.549735          0.0061995275         0.006257131          0.008795796          0.005984066          0.005734252          0.00233296            0.0039864615999999995 0.0018302432000000001 0.0018235134          0.0020052497          0.004026287           0.0025329015         -0.14561899999999994   0.37166500000000013 0.0027149247743715353 0.00258360045113903  SPLUS-s24s32 iDR3.SPLUS-s24s32.031711 48.37104097368265  -30.195290352660518 10.658714999999999 2266      2.6264455          12.0              6              15.527332000000001 15.170929999999998 15.226481          14.656374          14.689263          14.575804000000002 14.312117          14.254052          13.882387          14.399671          14.793789000000002 14.549735          0.0061995275         0.006257131          0.008795796          0.005984066          0.005734252          0.00233296            0.0039864615999999995 0.0018302432000000001 0.0018235134          0.0020052497          0.004026287           0.0025329015         -0.14561899999999994   0.37166500000000013 0.0027149247743715353 0.00258360045113903  0.0       
  2    SPLUS-s24s35 iDR3.SPLUS-s24s35.030511 52.877670696850565 -30.214388032625184 12.950435          47        3.8469949          12.0              3              18.800758          18.099626999999998 18.023966          17.896545          17.967644          17.960136          17.799526          17.712372          17.440561          17.620232          17.648315          17.532848          0.042516645          0.043244585          0.06260937           0.060547896          0.05847018           0.022128496           0.03830057            0.013313529           0.012136184           0.013299401           0.026268106           0.018397788          0.092139999999997      0.2718109999999996  0.018818185921938436  0.018014910949424562 SPLUS-s24s35 iDR3.SPLUS-s24s35.030511 52.877670696850565 -30.214388032625184 12.950435          47        3.8469949          12.0              3              18.800758          18.099626999999998 18.023966          17.896545          17.967644          17.960136          17.799526          17.712372          17.440561          17.620232          17.648315          17.532848          0.042516645          0.043244585          0.06260937           0.060547896          0.05847018           0.022128496           0.03830057            0.013313529           0.012136184           0.013299401           0.026268106           0.018397788          0.092139999999997      0.2718109999999996  0.018818185921938436  0.018014910949424562 0.0       
  3    SPLUS-s24s35 iDR3.SPLUS-s24s35.030662 52.874549161274146 -30.215355217936448 26.761238          680       4.8682303          12.0              3              18.329256          17.788870000000003 18.011892          17.795123999999998 17.966522          18.007095          18.023367          17.908234          17.038904000000002 18.067656          18.063953          17.986187          0.029427882000000002 0.03423269           0.062206212000000004 0.05595554           0.058608454000000004 0.023033129           0.045840077           0.015420466           0.009308671           0.018750085           0.036885455           0.02673137           -0.1594219999999993    0.8693299999999979  0.02427666491024624   0.018012277130984772 SPLUS-s24s35 iDR3.SPLUS-s24s35.030662 52.874549161274146 -30.215355217936448 26.761238          680       4.8682303          12.0              3              18.329256          17.788870000000003 18.011892          17.795123999999998 17.966522          18.007095          18.023367          17.908234          17.038904000000002 18.067656          18.063953          17.986187          0.029427882000000002 0.03423269           0.062206212000000004 0.05595554           0.058608454000000004 0.023033129           0.045840077           0.015420466           0.009308671           0.018750085           0.036885455           0.02673137           -0.1594219999999993    0.8693299999999979  0.02427666491024624   0.018012277130984772 0.0       
  4    SPLUS-s24s41 iDR3.SPLUS-s24s41.011980 63.22209217387361  -31.30837649675762  23.740633          1939      4.356058999999999  12.0              3              18.485346          17.878777          18.14251           17.98536           17.92085           17.825829000000002 17.64943           17.506422          16.917782          17.44765           17.411116          17.332027          0.022334023999999997 0.024144216          0.040048365          0.030990142000000002 0.029587349          0.011211222           0.020680498000000002  0.009170666           0.007783976           0.010169788           0.018677568000000002  0.0151636405         0.05877200000000116    0.5886400000000016  0.013694002440795022  0.012028773721877554 SPLUS-s24s41 iDR3.SPLUS-s24s41.011980 63.22209217387361  -31.30837649675762  23.740633          1939      4.356058999999999  12.0              3              18.485346          17.878777          18.14251           17.98536           17.92085           17.825829000000002 17.64943           17.506422          16.917782          17.44765           17.411116          17.332027          0.022334023999999997 0.024144216          0.040048365          0.030990142000000002 0.029587349          0.011211222           0.020680498000000002  0.009170666           0.007783976           0.010169788           0.018677568000000002  0.0151636405         0.05877200000000116    0.5886400000000016  0.013694002440795022  0.012028773721877554 0.0       
  5    SPLUS-s25s31 iDR3.SPLUS-s25s31.021159 48.139082441531365 -32.387688729492424 12.42956           32823     5.52842            12.0              7              20.140198          19.825642000000002 19.934166          18.926609          18.451168          17.311903          17.088104          16.260673999999998 15.78175           15.883970000000001 15.5476055         15.723968          0.06945177           0.088488944          0.15745583           0.06399002           0.044932686          0.008849461999999999  0.0153844915          0.004562811           0.0043303813          0.0038561795          0.0058458419999999995 0.0044746264         0.3767039999999966     0.47892399999999746 0.00597405762927855   0.006290583949452601 SPLUS-s25s31 iDR3.SPLUS-s25s31.021159 48.139082441531365 -32.387688729492424 12.42956           32823     5.52842            12.0              7              20.140198          19.825642000000002 19.934166          18.926609          18.451168          17.311903          17.088104          16.260673999999998 15.78175           15.883970000000001 15.5476055         15.723968          0.06945177           0.088488944          0.15745583           0.06399002           0.044932686          0.008849461999999999  0.0153844915          0.004562811           0.0043303813          0.0038561795          0.0058458419999999995 0.0044746264         0.3767039999999966     0.47892399999999746 0.00597405762927855   0.006290583949452601 0.0       
  6    SPLUS-s25s32 iDR3.SPLUS-s25s32.045652 48.929133834773005 -31.526558827545987 29.222316999999997 637       3.0298302          12.0              0              15.323679          14.935844          14.698118          14.501348499999999 14.393969          14.18786           14.172726999999998 17.597034          14.158413000000001 17.006691          14.064827          17.540855          0.0044298493         0.005288304000000001 0.0067491466         0.005467189          0.0050729923         0.0020153657999999997 0.0037004424          0.009261349           0.0018963626000000002 0.0070922845          0.0027091126000000003 0.014343136999999999 0.5903430000000007     3.4386209999999995  0.011665036850723672  0.0094535060379988   SPLUS-s25s32 iDR3.SPLUS-s25s32.045652 48.929133834773005 -31.526558827545987 29.222316999999997 637       3.0298302          12.0              0              15.323679          14.935844          14.698118          14.501348499999999 14.393969          14.18786           14.172726999999998 17.597034          14.158413000000001 17.006691          14.064827          17.540855          0.0044298493         0.005288304000000001 0.0067491466         0.005467189          0.0050729923         0.0020153657999999997 0.0037004424          0.009261349           0.0018963626000000002 0.0070922845          0.0027091126000000003 0.014343136999999999 0.5903430000000007     3.4386209999999995  0.011665036850723672  0.0094535060379988   0.0       
  7    SPLUS-s26s29 iDR3.SPLUS-s26s29.000230 45.386442264828005 -34.25963713788414  8.369833           253       3.8380754          12.0              2              18.3414            17.864267          17.991508          17.529522          17.413229          17.218636          17.784056          17.761803          17.186628          17.244282000000002 17.034184          17.20982           0.023247423          0.026046796          0.04231901           0.028720926          0.025947212999999997 0.009244538           0.026214352000000003  0.011221983999999999  0.008893154           0.009225561           0.014869522           0.013451997          0.5175209999999986     0.5751750000000015  0.014527350090810676  0.014318558340977349 SPLUS-s26s29 iDR3.SPLUS-s26s29.000230 45.386442264828005 -34.25963713788414  8.369833           253       3.8380754          12.0              2              18.3414            17.864267          17.991508          17.529522          17.413229          17.218636          17.784056          17.761803          17.186628          17.244282000000002 17.034184          17.20982           0.023247423          0.026046796          0.04231901           0.028720926          0.025947212999999997 0.009244538           0.026214352000000003  0.011221983999999999  0.008893154           0.009225561           0.014869522           0.013451997          0.5175209999999986     0.5751750000000015  0.014527350090810676  0.014318558340977349 0.0       
  8    SPLUS-s26s31 iDR3.SPLUS-s26s31.032533 49.21108348383686  -33.30109956831036  9.383051           851       4.658939           12.0              2              18.658262          18.021214999999998 18.23265           18.151138          18.032894          17.969303          17.71141           17.635729          17.10379           17.62238           17.606476          17.514985999999997 0.023570154          0.0251581            0.047202237          0.038376343          0.035900857          0.012783589           0.02193756            0.010182366           0.008048968           0.011249551000000002  0.022801902000000002  0.01649884           0.01334900000000161    0.5319390000000013  0.015173429904262155  0.01297946313307989  SPLUS-s26s31 iDR3.SPLUS-s26s31.032533 49.21108348383686  -33.30109956831036  9.383051           851       4.658939           12.0              2              18.658262          18.021214999999998 18.23265           18.151138          18.032894          17.969303          17.71141           17.635729          17.10379           17.62238           17.606476          17.514985999999997 0.023570154          0.0251581            0.047202237          0.038376343          0.035900857          0.012783589           0.02193756            0.010182366           0.008048968           0.011249551000000002  0.022801902000000002  0.01649884           0.01334900000000161    0.5319390000000013  0.015173429904262155  0.01297946313307989  0.0       
  9    SPLUS-s26s32 iDR3.SPLUS-s26s32.032241 49.21104988541157  -33.301067522085425 8.529177           640       4.629711599999999  12.0              2              18.676437          17.99041           18.204037          18.221651          18.121239000000003 17.999584          17.771233          17.689266          17.106285          17.66677           17.643154          17.565918          0.036836557          0.037243135          0.05836876           0.055645682          0.04704674           0.016625036           0.04936601            0.010929468000000001  0.008614217           0.011989663000000001  0.022572018           0.016789224          0.022496000000000294   0.5829810000000002  0.016223602855611113  0.013916105967048148 SPLUS-s26s32 iDR3.SPLUS-s26s32.032241 49.21104988541157  -33.301067522085425 8.529177           640       4.629711599999999  12.0              2              18.676437          17.99041           18.204037          18.221651          18.121239000000003 17.999584          17.771233          17.689266          17.106285          17.66677           17.643154          17.565918          0.036836557          0.037243135          0.05836876           0.055645682          0.04704674           0.016625036           0.04936601            0.010929468000000001  0.008614217           0.011989663000000001  0.022572018           0.016789224          0.022496000000000294   0.5829810000000002  0.016223602855611113  0.013916105967048148 0.0       
  10   SPLUS-s26s40 iDR3.SPLUS-s26s40.040799 62.98927341346487  -32.90926393688288  51.666779999999996 1303      3.8537939          12.0              3              18.350166          17.91809           18.072062          17.98224           17.930279000000002 17.976446          17.959707          17.740822          16.965904000000002 17.77032           17.713467          17.629580999999998 0.021327391          0.025244297000000002 0.038301624          0.033596486          0.03021473           0.012648595           0.025115897999999998  0.010420063           0.007981768           0.013527906000000001  0.02788446            0.021138312000000003 -0.029498000000000246  0.7749179999999996  0.017075770953863402  0.013125788865047045 SPLUS-s26s40 iDR3.SPLUS-s26s40.040799 62.98927341346487  -32.90926393688288  51.666779999999996 1303      3.8537939          12.0              3              18.350166          17.91809           18.072062          17.98224           17.930279000000002 17.976446          17.959707          17.740822          16.965904000000002 17.77032           17.713467          17.629580999999998 0.021327391          0.025244297000000002 0.038301624          0.033596486          0.03021473           0.012648595           0.025115897999999998  0.010420063           0.007981768           0.013527906000000001  0.02788446            0.021138312000000003 -0.029498000000000246  0.7749179999999996  0.017075770953863402  0.013125788865047045 0.0       
