# Field_1         ID                        RA_1                 DEC_1                   FWHM_1               ISOarea_1   KRON_RADIUS_1        nDet_magPStotal_1   PhotoFlagDet_1   U_PStotal_1          F378_PStotal_1       F395_PStotal_1       F410_PStotal_1       F430_PStotal_1       G_PStotal_1          F515_PStotal_1       R_PStotal_1          F660_PStotal_1       I_PStotal_1          F861_PStotal_1       Z_PStotal_1          e_U_PStotal_1        e_F378_PStotal_1      e_F395_PStotal_1     e_F410_PStotal_1      e_F430_PStotal_1      e_G_PStotal_1          e_F515_PStotal_1      e_R_PStotal_1          e_F660_PStotal_1        e_I_PStotal_1          e_F861_PStotal_1       e_Z_PStotal_1          r_-_i_1                 r_-_J0660_1           e(r_-_i)_1             e(r_-_J0660)_1         P(GoodPho)_1         P(BadPho)_1           Field_2         ID_2                        RA_2                 DEC_2                   FWHM_2               ISOarea_2   KRON_RADIUS_2        nDet_magPStotal_2   PhotoFlagDet_2   U_PStotal_2          F378_PStotal_2       F395_PStotal_2       F410_PStotal_2       F430_PStotal_2       G_PStotal_2          F515_PStotal_2       R_PStotal_2          F660_PStotal_2       I_PStotal_2          F861_PStotal_2       Z_PStotal_2          e_U_PStotal_2        e_F378_PStotal_2      e_F395_PStotal_2     e_F410_PStotal_2      e_F430_PStotal_2      e_G_PStotal_2          e_F515_PStotal_2       e_R_PStotal_2          e_F660_PStotal_2        e_I_PStotal_2          e_F861_PStotal_2       e_Z_PStotal_2          r_-_i_2                 r_-_J0660_2           e(r_-_i)_2             e(r_-_J0660)_2         P(GoodPho)_2         P(BadPho)_2          
  HYDRA-0103      iDR3.HYDRA-0103.000289      150.59761429022888   -38.41473129510657      3.6066356            69          2.9295259999999996   11.0                0                21.21272             20.456497            99.0                 18.781973            18.912079000000002   18.225548            18.19502             17.725758            17.259903            17.281841            17.129210999999998   17.257877            0.34236512           0.2403901             20.550615            0.07832057            0.08010322            0.017089373999999997   0.038238164           0.010799061            0.009635424             0.010041317            0.017818788000000002   0.01625667             0.443916999999999       0.4658549999999977    0.014746110184594784   0.014472771474099113   0.5557172729322861   0.44428272706771393   HYDRA-0103      iDR3.HYDRA-0103.000289      150.59761429022888   -38.41473129510657      3.6066356            69          2.9295259999999996   11.0                0                21.21272             20.456497            99.0                 18.781973            18.912079000000002   18.225548            18.19502             17.725758            17.259903            17.281841            17.129210999999998   17.257877            0.34236512           0.2403901             20.550615            0.07832057            0.08010322            0.017089373999999997   0.038238164            0.010799061            0.009635424             0.010041317            0.017818788000000002   0.01625667             0.443916999999999       0.4658549999999977    0.014746110184594784   0.014472771474099113   1.0E20               1.0E20               
  STRIPE82-0087   iDR3.STRIPE82-0087.039016   300.70322175190046   -1.0462783586648234     3.521638             729         4.018791             12.0                3                19.185133            18.799625            18.618956            18.114117            18.002104            17.598145000000002   17.393486            17.015772            14.247467000000002   16.76173             16.683504            16.627398            0.03228454           0.05248226            0.060377516          0.029771155           0.026092552           0.0071641887           0.0140306             0.0050756834           0.0015205267000000001   0.0049314643           0.0086731035           0.006689736999999999   0.2540419999999983      2.7683049999999962    0.007076856796573606   0.005298543518972781   0.5297152102623968   0.4702847897376033    STRIPE82-0087   iDR3.STRIPE82-0087.039016   300.70322175190046   -1.0462783586648234     3.521638             729         4.018791             12.0                3                19.185133            18.799625            18.618956            18.114117            18.002104            17.598145000000002   17.393486            17.015772            14.247467000000002   16.76173             16.683504            16.627398            0.03228454           0.05248226            0.060377516          0.029771155           0.026092552           0.0071641887           0.0140306              0.0050756834           0.0015205267000000001   0.0049314643           0.0086731035           0.006689736999999999   0.2540419999999983      2.7683049999999962    0.007076856796573606   0.005298543518972781   1.0E20               1.0E20               
  STRIPE82-0092   iDR3.STRIPE82-0092.016059   303.10667721512834   0.20870897421460946     1.8699682            31          3.7752109            11.0                0                99.0                 22.204296            21.168737            20.091934            20.078503            19.209630999999998   19.130547            17.93381             17.091827            17.420605            17.228877999999998   17.182755            21.563156            1.8640279             0.89339304           0.25412667            0.20439763            0.03615157             0.07573466            0.018333983            0.010914148             0.01686336             0.01765143             0.028177336            0.5132050000000028      0.8419830000000026    0.024909994844116067   0.021336671699451935   0.5290467849922988   0.4709532150077012    STRIPE82-0092   iDR3.STRIPE82-0092.016059   303.10667721512834   0.20870897421460946     1.8699682            31          3.7752109            11.0                0                99.0                 22.204296            21.168737            20.091934            20.078503            19.209630999999998   19.130547            17.93381             17.091827            17.420605            17.228877999999998   17.182755            21.563156            1.8640279             0.89339304           0.25412667            0.20439763            0.03615157             0.07573466             0.018333983            0.010914148             0.01686336             0.01765143             0.028177336            0.5132050000000028      0.8419830000000026    0.024909994844116067   0.021336671699451935   1.0E20               1.0E20               
  STRIPE82-0134   iDR3.STRIPE82-0134.044768   333.1889323269491    1.4426033493490462      3.2316263            69          2.5662258            8.0                 0                99.0                 99.0                 99.0                 99.0                 20.740185            18.779186            18.940117            17.880735            16.619001            17.46015             17.415564            17.277126000000003   21.983627            21.451641             20.89271             21.16822              0.2880742             0.022507995            0.05171387            0.012548513            0.006297191999999999    0.011753151000000002   0.023157677            0.016170444            0.42058500000000265     1.2617340000000006    0.0171930723531302     0.014039936096579393   0.6105477902894656   0.3894522097105344    STRIPE82-0134   iDR3.STRIPE82-0134.044768   333.1889323269491    1.4426033493490462      3.2316263            69          2.5662258            8.0                 0                99.0                 99.0                 99.0                 99.0                 20.740185            18.779186            18.940117            17.880735            16.619001            17.46015             17.415564            17.277126000000003   21.983627            21.451641             20.89271             21.16822              0.2880742             0.022507995            0.05171387             0.012548513            0.006297191999999999    0.011753151000000002   0.023157677            0.016170444            0.42058500000000265     1.2617340000000006    0.0171930723531302     0.014039936096579393   1.0E20               1.0E20               
  STRIPE82-0160   iDR3.STRIPE82-0160.035385   351.48590060060155   1.4335415568237897      2.7599285            114         3.0160037999999996   11.0                2                99.0                 21.156975            21.512629999999998   21.442215            19.288757            18.992639999999998   18.442420000000002   17.64101             16.938122            17.112995            17.022812            16.294128            21.877129999999998   0.36522314            1.0359937            0.8028885             0.10889727            0.026975017            0.04537341            0.010012263            0.00838208              0.008168156            0.0152308745           0.006695738499999999   0.5280149999999999      0.7028880000000015    0.01292146210076495    0.013057743890411123   0.5301674245457577   0.46983257545424234   STRIPE82-0160   iDR3.STRIPE82-0160.035385   351.48590060060155   1.4335415568237897      2.7599285            114         3.0160037999999996   11.0                2                99.0                 21.156975            21.512629999999998   21.442215            19.288757            18.992639999999998   18.442420000000002   17.64101             16.938122            17.112995            17.022812            16.294128            21.877129999999998   0.36522314            1.0359937            0.8028885             0.10889727            0.026975017            0.04537341             0.010012263            0.00838208              0.008168156            0.0152308745           0.006695738499999999   0.5280149999999999      0.7028880000000015    0.01292146210076495    0.013057743890411123   1.0E20               1.0E20               
  HYDRA-D-0001    iDR3.HYDRA-D-0001.053345    159.16247667986624   -34.75611929855415      22.764767000000006   313         3.9278576            12.0                3                20.070848            19.68541             19.567541            19.381226            19.167873            19.105438            18.775005            18.612185            18.214993            18.39502             18.260275            18.141747            0.04373053           0.05260285            0.08277406           0.05790560700000001   0.04646378            0.013940953            0.027245209           0.009503367            0.008923762             0.010089817            0.019380959            0.013851236            0.21716500000000138     0.39719200000000043   0.013860677884944083   0.013036391853934622   0.7306249226256796   0.2693750773743205    HYDRA-0091      iDR3.HYDRA-0091.058188      159.1624834808959    -34.75612138472345      18.159027            179         3.8214626            12.0                3                20.097906            19.593433            19.650265            19.546759            19.083313            19.114254000000006   18.869467            18.631016            18.123384            18.36652             18.277878            18.16278             0.07075559           0.07590137400000001   0.13561577           0.10711944            0.076058105           0.028079191            0.050500426            0.0177127              0.015952386000000002    0.017703118            0.035982687            0.025769658            0.2644959999999976      0.5076319999999974    0.025042765985647912   0.02383733123449427    0.7337725679285978   0.2662274320714022   
  HYDRA-D-0001    iDR3.HYDRA-D-0001.134024    157.9802219963947    -33.90828731046859      3.7859423            47          1.82                 9.0                 0                99.0                 21.263235            99.0                 99.0                 21.731224            18.953678            19.05978             18.674168            17.978873999999994   19.512417000000006   18.399832            18.443314            22.795702            0.20309237            21.561203            21.745127             0.4539673             0.012811372            0.034928586           0.010141147            0.007816501             0.025069162            0.022135254            0.018106133            -0.8382490000000047     0.6952940000000076    0.0270426652876127     0.012803927145942763   0.6980256632969428   0.3019743367030571    HYDRA-D-0001    iDR3.HYDRA-D-0001.134024    157.9802219963947    -33.90828731046859      3.7859423            47          1.82                 9.0                 0                99.0                 21.263235            99.0                 99.0                 21.731224            18.953678            19.05978             18.674168            17.978873999999994   19.512417000000006   18.399832            18.443314            22.795702            0.20309237            21.561203            21.745127             0.4539673             0.012811372            0.034928586            0.010141147            0.007816501             0.025069162            0.022135254            0.018106133            -0.8382490000000047     0.6952940000000076    0.0270426652876127     0.012803927145942763   1.0E20               1.0E20               
  HYDRA-D-0003    iDR3.HYDRA-D-0003.057415    157.75042642895878   -36.07021576856019      8.324773             367         3.081331             12.0                2                19.872047            19.17566             19.404932            19.413025            19.179955            19.0202              18.714182            18.710777            18.157717            18.617691            18.534803            18.438213            0.03987131           0.03631413            0.07130281           0.06313023            0.04564828            0.013451256000000002   0.026074467           0.010845029            0.008689078000000001    0.01313656             0.025638254            0.020331785            0.09308599999999956     0.5530599999999986    0.017034783903661387   0.01389657261704932    0.7853856674868007   0.21461433251319922   HYDRA-0099      iDR3.HYDRA-0099.058739      157.75043194542434   -36.07021144412396      10.236457            289         3.821419             12.0                2                19.775127            19.243757            19.492863            19.287327            19.177128            19.006094            18.77451             18.626255            18.142633            18.553242            18.539152            18.44426             0.05444449           0.05579               0.10252808           0.07803658            0.072216295           0.02454511             0.045181554000000006   0.019323422            0.015429434             0.02204997             0.041901562            0.033806022000000005   0.07301299999999955     0.48362200000000044   0.029318864486725674   0.024727759125129797   0.8016834367189221   0.198316563281078    
  HYDRA-D-0004    iDR3.HYDRA-D-0004.101958    155.87560948753315   -35.459718878345974     35.057106            1147        4.61821              12.0                3                20.072933            19.506237            19.347881            19.786934            19.496113            19.209057            18.975643            18.819838            18.256685            18.672264            18.585949            18.495377            0.058363404          0.05797247            0.085037306          0.10297332            0.07313193            0.01930522             0.040019374           0.014706093            0.012640963             0.019074649            0.03488113             0.029535396            0.14757400000000231     0.5631529999999998    0.02408550198351386    0.019392346863956873   0.7805434249622186   0.21945657503778135   HYDRA-0089      iDR3.HYDRA-0089.013936      155.8756123914709    -35.45972891727149      31.13445             496         4.876421499999998    12.0                3                20.170948000000006   19.386377            19.601511            19.646313            19.429485            19.308949            19.001827            18.661148            18.22622             18.658749            18.610083            18.506935            0.0639861            0.054413725           0.10697173           0.093220964           0.07547971            0.026577419            0.045403663            0.019654991            0.014404626             0.021340286            0.04026163             0.03085826             0.002399000000000484    0.4349279999999993    0.02901252277503418    0.02436825642941975    0.80900746099051     0.19099253900948995  
  HYDRA-0024      iDR3.HYDRA-0024.010417      155.54359102745408   -25.783565740213827     1.7278019            36          3.386027             11.0                0                22.11908             21.35916             99.0                 20.778324            20.986523            19.798086            19.65162             18.517895000000006   17.698868            17.877261999999995   17.578968            17.547107999999998   0.3990207            0.33543137            21.220694            0.27189398            0.3047816             0.041546144            0.07840442            0.016651886            0.011339564             0.013857005            0.024166314            0.018826924            0.6406330000000118      0.8190270000000055    0.02166337681265368    0.020146240817261466   0.5147603279693151   0.4852396720306849    HYDRA-0024      iDR3.HYDRA-0024.010417      155.54359102745408   -25.783565740213827     1.7278019            36          3.386027             11.0                0                22.11908             21.35916             99.0                 20.778324            20.986523            19.798086            19.65162             18.517895000000006   17.698868            17.877261999999995   17.578968            17.547107999999998   0.3990207            0.33543137            21.220694            0.27189398            0.3047816             0.041546144            0.07840442             0.016651886            0.011339564             0.013857005            0.024166314            0.018826924            0.6406330000000118      0.8190270000000055    0.02166337681265368    0.020146240817261466   1.0E20               1.0E20               
