# ra,dec,radius
157.96713209517503,-34.853619773852564,2.0
158.17859625462543,-33.90953396493444,2.0
156.1366542698264,-35.342667924282686,2.0
156.87919260930815,-35.33931138004457,2.0
156.88970276750538,-33.921271115116554,2.0
157.40758591075345,-36.21224327757265,2.0
157.99060949452974,-35.27811079297131,2.0
157.3234832210572,-36.69234472207434,2.0
157.07444157031642,-36.692620070834224,2.0
156.53658586034737,-36.696120784013466,2.0
151.42202375431012,-24.168326750536604,2.0
150.32352457772527,-23.175435217832614,2.0
151.02535350205397,-23.166713931002704,2.0
156.13095311674533,-23.552663995169148,2.0
155.2037626784609,-23.46585528316608,2.0
159.7456097449217,-24.61822082802332,2.0
150.3161748623447,-25.64581053676311,2.0
153.06205529216317,-24.910589790552248,2.0
155.33980124351822,-25.386922853496102,2.0
155.20130654672263,-24.594501271711305,2.0
159.73480460089112,-25.63102146470607,2.0
161.021700669606,-25.933725909207645,2.0
162.09779631183397,-25.162107015576634,2.0
157.79551808893538,-25.9595307707736,2.0
160.18458633319548,-26.93077695714731,2.0
163.3449876475051,-27.139992963223484,2.0
152.12484178828666,-28.504100027410804,2.0
152.3948621448796,-28.762551616149498,2.0
153.10501402784138,-27.340447846010232,2.0
157.311302785916,-28.55458590292727,2.0
158.00335656245485,-27.336772807012586,2.0
158.66144673587488,-28.583352366148148,2.0
160.576787851653,-27.46096364724262,2.0
164.74857227330833,-28.73751150613579,2.0
164.19579815623746,-27.341411793171805,2.0
149.6811639194094,-29.463706851408396,2.0
151.63902577766424,-29.93550371363763,2.0
151.25273875731898,-28.733000482069787,2.0
153.50955009648197,-28.755548635732094,2.0
155.59200363729934,-29.570808877039234,2.0
154.68580539865425,-28.732882359805426,2.0
158.0290903387059,-28.75894355475515,2.0
158.93535787795608,-29.78962850944455,2.0
163.8426391474425,-29.22607669856623,2.0
150.02430652185146,-31.553009436144805,2.0
152.886465018018,-30.130772406088372,2.0
152.1805594915469,-30.14091547296823,2.0
152.9146815510329,-31.048630575318032,2.0
153.7687050550307,-30.119722669660806,2.0
153.47025202899383,-30.11950266626276,2.0
156.2665107881092,-30.652673063849697,2.0
157.17900380093772,-31.038241404184603,2.0
157.2086145979637,-30.14004104938147,2.0
158.83985487748416,-31.522535359732718,2.0
158.83751293751294,-31.52320806036111,2.0
158.87828453293233,-30.1103705227713,2.0
158.38400066992676,-30.119863712313258,2.0
159.80640788213552,-31.55671521663631,2.0
161.47441182224094,-30.849252934535546,2.0
162.27066995749632,-30.75869988343519,2.0
162.0384616340618,-30.1427906594542,2.0
151.4165331633374,-32.93146701555721,2.0
152.93984158124888,-32.43794193331265,2.0
153.92004345854363,-32.289447791726126,2.0
157.97698381611053,-31.519253277060443,2.0
160.0876800345177,-32.7994848753103,2.0
150.7707181855397,-34.285803875346524,2.0
149.48358738891747,-33.1786172313488,2.0
150.3833525981921,-33.04326108927795,2.0
150.40672265402168,-32.882131649343144,2.0
152.9564317601829,-34.29639386821668,2.0
154.07782142695768,-33.56382825508867,2.0
161.0864265117472,-33.573114114688885,2.0
161.38830376332808,-34.27336354025546,2.0
164.05505431639793,-34.288836446255196,2.0
163.85660294298393,-33.859709344618764,2.0
149.9857033878499,-35.673153735262105,2.0
150.5321903609348,-35.67118288690082,2.0
150.32811860761518,-35.67264397604929,2.0
153.42611752163796,-35.55862460323203,2.0
165.4067977197879,-34.8557680660913,2.0
151.36242997478598,-37.0439524256211,2.0
150.34053041002875,-36.90785248434588,2.0
150.34345612577488,-36.36023161905911,2.0
151.12073569607682,-35.6386229618998,2.0
152.14773887281504,-36.73035703458572,2.0
155.65158960596418,-36.9023463587666,2.0
163.53634718988116,-37.045656962545316,2.0
162.515650041078,-36.574052854141335,2.0
150.83321357311652,-38.41429873694168,2.0
150.4788764485886,-37.28205180838733,2.0
149.74941795937931,-37.16627504116457,2.0
151.5965106312249,-37.815402767820906,2.0
151.60526797652437,-37.80231178154944,2.0
152.60244511715547,-37.02783213367049,2.0
154.755114203685,-37.671990131399845,2.0
165.62069587224326,-37.115496073518585,2.0
149.78881606990194,-39.79291055464593,2.0
149.15783754849198,-39.505764403462685,2.0
150.74173468394466,-39.375773299619134,2.0
150.24561993489834,-39.41588508867294,2.0
153.55972095859576,-39.11936178670809,2.0
155.75973043034236,-39.16661255574749,2.0
156.62217521755576,-39.37300573708651,2.0
160.0795511904486,-39.179329817095855,2.0
165.4690141828879,-39.289439388840506,2.0
163.6589281500442,-38.75888586815208,2.0
154.14857974260718,-41.06440910546071,2.0
149.848960168717,-41.70325065031671,2.0
153.70848153807933,-41.73865594252537,2.0
161.60396670739192,-41.95529910465022,2.0
163.00750029878168,-41.96885419566257,2.0
163.95305284259857,-41.13399719430209,2.0
151.8003064361314,-43.18112996803487,2.0
156.86911573764465,-43.11264855100319,2.0
156.86516590334512,-42.97997983729803,2.0
156.96556060694496,-43.90370677872753,2.0
156.96375808362262,-43.903819286227844,2.0
157.17951537518624,-43.832660960105564,2.0
158.14613917140957,-43.11948420268606,2.0
158.14675257939038,-42.49805519626464,2.0
164.16290089688027,-42.49503798366562,2.0
152.81570652134639,-44.57222297861679,2.0
153.75373824202194,-44.49846383020551,2.0
156.9637129340573,-43.90389541595707,2.0
156.96552926317239,-43.90377424167153,2.0
162.28329028285503,-45.259194469237,2.0
161.77335486477384,-44.88568196283895,2.0
161.7289226445854,-44.27239736036634,2.0
163.13488234779288,-45.279051754506675,2.0
163.27750422323808,-45.278221636635095,2.0
155.0248368273405,-46.12164288393608,2.0
155.46690340297408,-45.874968627216255,2.0
155.97606375129874,-45.22318331202288,2.0
160.1287881034728,-45.93165081801156,2.0
162.3082440398014,-46.49024421318711,2.0
164.94440651137128,-46.63655938293784,2.0
164.40737635562638,-45.90586091811566,2.0
151.43506046797674,-46.57434114783171,2.0
156.41618829901012,-46.574047728093795,2.0
155.50837715740585,-46.57838885953085,2.0
157.89717323897025,-46.576377569883086,2.0
162.17202424386159,-47.7159940127221,2.0
164.3079665625576,-47.66979296726016,2.0
2.0471043445714274,1.0008998332737824,2.0
