# Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal r_-_i r_-_J0660 e(r_-_i) e(r_-_J0660)
HYDRA-D-0001 iDR3.HYDRA-D-0001.065510 157.96713209517503 -34.853619773852564 18.385289999999998 26688 3.6483607000000005 12.0 3 18.999676 18.393696 18.382206 17.931164000000003 17.652334 16.831423 16.287369 15.771395000000002 15.149722 15.208897 14.894658999999999 14.722282 0.019107196 0.01950361 0.031827644 0.018585498 0.014735135 0.0035354882 0.0053984975 0.0019168528 0.0016899178 0.0015457178 0.0023083739999999998 0.0015461957999999998 0.5624980000000015 0.6216730000000013 0.002462431354191357 0.002555415196719445
HYDRA-D-0004 iDR3.HYDRA-D-0004.005086 157.07444157031642 -36.692620070834224 11.86844 872 3.3559367999999994 12.0 3 15.062195000000001 14.4423685 14.230062 13.929382 13.999728 14.783992999999999 13.785982 15.520494 14.969072 14.994013 14.384056 15.098643 0.0025891487 0.0027034688 0.003420572 0.0025599175 0.0024850524 0.0016545934 0.0019714613 0.0021500732000000002 0.0020764456 0.0018226461999999999 0.0022688718 0.0025339476 0.5264809999999986 0.5514219999999987 0.0028186617277943587 0.002989053545040236
HYDRA-D-0004 iDR3.HYDRA-D-0004.006960 156.53658586034737 -36.696120784013466 8.976546 3260 2.753578 12.0 7 15.621178 15.400757 14.884056 13.991419 13.482757999999999 12.581213 12.396154 15.528545000000001 13.471279000000001 14.204281 10.946203 14.476420000000001 0.00339884 0.00430248 0.0047068014 0.0026244365 0.0019395859 0.0005916363 0.0010273266 0.0021583799 0.001026354 0.0012372934 0.00044627187999999994 0.0018045933999999999 1.3242640000000012 2.0572660000000003 0.002487870324274875 0.0023899804028568957
HYDRA-0063 iDR3.HYDRA-0063.033554 157.17900380093772 -31.038241404184603 9.184647 3505 3.6472945 12.0 3 17.987488 17.455284 17.338783 17.20242 17.05614 16.69424 16.510927 15.856825 15.099407000000001 15.566172 15.366934 15.215922 0.016152307 0.01669153 0.021890435 0.017596273 0.0154750915 0.005758322 0.009774744 0.0032504153999999997 0.0026703411999999998 0.002643646 0.0040350924 0.0026898865999999996 0.2906530000000007 0.7574179999999995 0.004189757086738222 0.004206652160207045
HYDRA-0064 iDR3.HYDRA-0064.059781 158.87828453293233 -30.1103705227713 15.381670999999999 3013 2.8453531 9.0 2 99.0 99.0 99.0 20.988979999999998 19.256227 17.633266 17.042091 15.946743 14.949014000000002 14.836147 13.871073999999998 14.234598000000002 22.072135999999997 21.46394 20.746403 0.46909290000000003 0.09580716 0.0100168325 0.015698325 0.0038268309999999997 0.0030167939 0.002374081 0.002788713 0.0022495615 1.1105959999999993 0.9977289999999979 0.004503431591255939 0.004872954025807981
HYDRA-0065 iDR3.HYDRA-0065.000113 159.80640788213552 -31.55671521663631 8.111155499999999 367 3.021871 12.0 0 18.985695 17.02569 15.567127 15.021375 14.936632000000001 15.004675 16.241714 15.367045000000001 14.392603 14.366801 14.164903 14.318399 0.03953034 0.020827798 0.007885431 0.0053221625 0.004842292 0.0029996461 0.01137508 0.0033077515999999996 0.0024649873 0.00221823 0.0031591096999999996 0.0025383097 1.0002440000000004 0.9744420000000016 0.003982683138312984 0.004125213089825039
HYDRA-0087 iDR3.HYDRA-0087.008304 153.42611752163796 -35.55862460323203 23.940472 468 3.1372662 12.0 0 15.989559 15.72216 15.422051000000002 15.007535999999998 14.915132 14.594852 14.417032999999998 15.396763 14.288587 15.376818 14.02125 16.340416 0.006022446 0.0077750897 0.009258446 0.0066536516 0.006124366500000001 0.0023463095999999998 0.0040407656 0.003061758 0.0023042294000000002 0.0032718991999999996 0.0029726026 0.008443538 0.01994499999999988 1.1081760000000003 0.004481036311560601 0.0038319492661553285
HYDRA-0105 iDR3.HYDRA-0105.055887 154.755114203685 -37.671990131399845 10.586653 2258 3.7422078 12.0 2 16.913635 16.393394 16.269527 16.275063 16.153889000000003 16.125711 15.898125 15.868675 15.463541000000001 15.816572 15.719395 15.665148 0.010505583 0.011218128 0.01526821 0.012771191000000001 0.0115836775 0.004873042 0.008211939 0.003800355 0.003654981 0.003837454 0.006789086 0.0049400227 0.0521029999999989 0.40513399999999855 0.005400810247374092 0.0052727207622238065
HYDRA-0120 iDR3.HYDRA-0120.037401 165.4690141828879 -39.289439388840506 9.544908 397 2.464113 12.0 2 22.177746 16.706772 16.544754 17.58711 16.187808999999998 17.610992 14.585451 14.446848000000001 13.890035000000001 14.280879999999998 13.643301000000001 14.140998999999999 0.53122485 0.012309916 0.015312593999999999 0.025284242000000002 0.010260984 0.009105764 0.003990939000000001 0.0017747544 0.0017084939999999999 0.0017157 0.0038483732 0.0019968448 0.165968000000003 0.556813 0.002468477196637506 0.0024634741582479328
HYDRA-0144 iDR3.HYDRA-0144.088911 164.16290089688027 -42.49503798366562 23.630661 487 2.9562504 12.0 2 14.723514999999999 15.639307 15.344697 15.272089000000001 14.585644 16.596067 14.198282 15.6244545 13.960251000000001 14.3386 12.971395 13.17334 0.0033342353999999998 0.0072772159999999995 0.008606715 0.007831011 0.0052578105000000005 0.007051701999999999 0.0036338322999999997 0.0034332315000000003 0.0017521546 0.0018479276999999999 0.0016279495 0.0012977022999999999 1.285854500000001 1.6642034999999993 0.003898963364411051 0.0038544940361730246
HYDRA-D-0001 iDR3.HYDRA-D-0001.025473 158.50313124725002 -35.282577409727544 19.926043 12568 4.085775 12.0 3 18.663725 18.319021 17.975723000000002 17.850101000000002 17.761293 17.609941 17.430775 17.06383 16.69033 16.781536 16.609358 16.500760999999997 0.014750958 0.018165145 0.023034368 0.017737098 0.01603435 0.00542478 0.010610952 0.0037069909999999998 0.0036422394 0.0035519153 0.006055161999999999 0.0042644893 0.28229400000000027 0.37349999999999994 0.005133993043670306 0.005196892352261432
HYDRA-D-0003 iDR3.HYDRA-D-0003.119555 158.5031268315751 -35.282679860025794 20.033878 9963 2.4767732999999996 12.0 3 18.625998000000003 18.252499 18.036013 17.83655 17.69073 17.521114 17.374353 16.997329999999998 16.654757 16.72361 16.594261 16.481829 0.014958688999999999 0.017644944 0.023366313 0.018972699 0.01518017 0.0053314487 0.010417936 0.0037617325 0.0036112412 0.0036287745 0.006174036999999999 0.004555191 0.2737199999999973 0.342572999999998 0.005226723234819929 0.005214565600904229
HYDRA-0046 iDR3.HYDRA-0046.021527 161.57129581271013 -28.423211627758306 12.177104 1022 3.8004122000000002 12.0 0 17.673992000000002 17.484562 17.346292000000002 17.187701999999998 17.148514000000002 16.980715 16.853839999999998 16.393848000000002 15.761963 16.17604 15.974537 15.875725 0.01778732 0.019700076 0.026819654 0.022131098 0.019677063 0.0076975855000000004 0.013754822 0.004810153 0.0039841537 0.0043448163 0.0069742203 0.0048152227 0.21780800000000156 0.6318850000000023 0.006481897913740596 0.006245882851017356
HYDRA-0054 iDR3.HYDRA-0054.047884 158.76197984814078 -29.506601635883555 13.461355 3214 4.082628 12.0 3 18.643198 18.128895 17.872395 17.841673 17.709536 17.630186 17.456081 17.311031 17.01096 17.185274 17.10485 17.047145999999998 0.014562271000000002 0.01552043 0.01999412 0.016064186 0.014297013 0.005669062 0.010200252 0.0045274706 0.004411744 0.004759242 0.008609745 0.0065210447999999996 0.12575700000000012 0.3000709999999991 0.0065687422272782455 0.006321508930263436
HYDRA-0062 iDR3.HYDRA-0062.000178 155.48707107633282 -31.555584814250263 20.214048000000002 223 3.6751160000000005 12.0 0 20.589897 17.690914000000003 17.61891 16.504170000000002 16.455791 15.833679 15.659066000000001 16.646729 15.044788 18.141474 16.176071 17.984104000000002 0.10475139 0.02402512 0.034869976000000004 0.014431665 0.013332588999999999 0.0038791026 0.0071944823 0.005789056 0.0029173738 0.016989646 0.00864444 0.0270591 -1.4947449999999982 1.601941 0.017948850675640823 0.006482610528179404
HYDRA-0064 iDR3.HYDRA-0064.011102 159.2685358307238 -31.365924306516472 15.179735999999998 1294 4.037864 12.0 3 18.440254 17.919415 17.679226 17.57285 17.474428 17.378470999999998 17.177616 17.01 16.701395 16.823326 16.615242000000002 16.649078 0.023601541 0.026460658999999997 0.03713887 0.02827644 0.024750376 0.00859153 0.016802585 0.00652099 0.0071848687 0.0069194054 0.0127837295 0.009782192 0.186674 0.308605 0.009507969376772792 0.009702868071675494
HYDRA-0065 iDR3.HYDRA-0065.000118 159.9566993632784 -31.55664700403079 10.633800500000001 289 3.2670162 12.0 0 21.238148000000002 19.03465 17.77413 17.157593 16.909492 16.319110000000002 17.50338 16.50874 15.187512 14.953944 15.069479000000001 15.059187 0.24603229999999998 0.07921133 0.026467052999999997 0.015981972 0.013105461 0.0055863084 0.022503733999999997 0.005859294399999999 0.003588432 0.0029386198 0.0050118426 0.0037377195 1.5547959999999996 1.3212279999999996 0.0065549078708112595 0.00687082055394371
HYDRA-0065 iDR3.HYDRA-0065.001501 159.81015556007074 -31.526146869777037 10.940097999999999 483 4.475148 12.0 2 19.277004 18.48874 18.565481 18.404423 18.329128 18.32996 17.978733 17.937225 17.644032 17.776756 17.777693 17.704995999999998 0.048976224000000006 0.052982625 0.045157987999999996 0.03578781 0.031862497000000004 0.016680239 0.030490147000000002 0.013418754 0.013297528000000001 0.015455192 0.02984968 0.022287407999999998 0.16046900000000264 0.29319300000000226 0.020467679855552263 0.01889145864731731
