# Field           ID                          RA                   DEC                     FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal             e_F515_PStotal         e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal          e_Z_PStotal             r_-_i                    r_-_J0660             e(r_-_i)                e(r_-_J0660)            P(GoodPho)           P(BadPho)             main_id                                         ra_x             dec_x            coo_err_maj   coo_err_min   coo_err_angle   nbref   ra_sexa          dec_sexa         main_type           other_types                                                                                             radvel        redshift   sp_type              morph_type     plx      pmra     pmdec    size_maj   size_min   size_angle   B        V        R_x      J        H        K        u        g        r_xa     i        z        angDist   
  SPLUS-n17s51    iDR3.SPLUS-n17s51.060378    224.16728717764457   -21.266961019854538     2.5028832000000003   93        3.4614303            12.0              0              19.510263000000002   19.320957            19.391373            18.61303             18.324907            17.972105            17.825838            17.14045             16.766281            16.749907999999998   16.176775            16.520073            0.052418668            0.074322104            0.12034051             0.065355055            0.044722304000000004   0.013470530500000001    0.024754057000000003   0.007246519             0.0077222777            0.0065351557            0.009199822             0.0076626036            0.3905420000000035       0.37416900000000197   0.0097580888313544      0.01058988245889813     ""                   ""                    "CRTS J145640.1-211601"                         224.1672916667   -21.2670833333   ""            ""            172.0           1       "14 56 40.15   " "-21 16 01.5   " EB*                 EB*                                                                                                     ""            ""         ""                   ""             ""       ""       ""       ""         ""         ""           ""       16.63    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.440586  
  STRIPE82-0004   iDR3.STRIPE82-0004.011411   1.9728879545721905   0.2999103172053956      1.7419214            44        3.3879585            12.0              0              21.763334            23.095028            20.401768            21.107016            20.395775            19.597519            19.054634            18.234428            17.348774            17.10068             16.247307            16.559685            0.3970434000000001     1.8868672              0.26409918             0.40503654             0.20746699             0.04277692              0.06529505599999999    0.013872738             0.00931168              0.0073870462            0.008249237             0.0074322917            1.1337480000000006       0.8856540000000024    0.015716911629756605    0.01670808917976691     ""                   ""                    "2MASS J00075351+0017597"                       1.9729468608     0.299919961      0.0           0.0           90.0            4       "00 07 53.50725" "+00 17 59.7119" low-mass*           "** |*  |*  |LM*|IR"                                                                                    53.985        1.8E-4     M2V                  ""             1.7111   -5.58    -10.26   ""         ""         ""           ""       ""       ""       14.741   14.062   13.832   21.786   19.254   17.808   16.719   16.096   0.214883  
  STRIPE82-0023   iDR3.STRIPE82-0023.003302   14.953354509073167   -1.3181152771969302     2.8699145            114       4.551903             12.0              2              18.351938            18.184704            18.261955            18.26931             18.254166            18.28951             18.227707            18.115194            17.775326            18.042538            17.062720000000002   17.490244            0.020536372            0.028230483            0.044484843            0.039052483            0.035862613            0.013376699             0.0316035              0.012056664             0.011975557             0.013647676             0.014825669             0.014523494             0.0726559999999985       0.33986799999999917   0.018210497165367892    0.016993443214050087    ""                   ""                    "LBQS 0057-0135"                                14.9533705448    -1.3182074068    0.0           0.0           90.0            10      "00 59 48.80893" "-01 19 05.5467" QSO                 "QSO|*  |QSO|IR"                                                                                        82206.6414    0.325      ""                   ""             0.1336   0.16     0.39     ""         ""         ""           ""       17.9     ""       16.273   15.727   14.533   ""       ""       ""       ""       ""       0.336651  
  STRIPE82-0051   iDR3.STRIPE82-0051.022116   36.069041657877996   -0.9636139897278796     2.2381473            97        3.4128158            12.0              3              23.89499             21.5107              24.168888            21.666237            20.972794            21.533968            19.659775            18.950005            18.223524            18.265404            17.476406            17.812675            1.5371498              0.28010565             5.1703644              0.4271985              0.22664838             0.104873024             0.059822865            0.014264986             0.010305321             0.010759606             0.012525608999999998    0.012358487             0.6846010000000007       0.7264809999999997    0.01786781874923271     0.01759799609311347     ""                   ""                    "SDSS J022416.59-005749.1"                      36.0691104459    -0.9636442135    0.0           0.0           90.0            3       "02 24 16.58651" "-00 57 49.1192" low-mass*           "*  |*  |LM*|IR"                                                                                        45.735        1.53E-4    M0V                  ""             0.9703   -4.94    0.17     ""         ""         ""           ""       ""       ""       16.173   15.669   15.31    22.047   19.648   18.473   17.788   17.405   0.270454  
  SPLUS-s23s35    iDR3.SPLUS-s23s35.046683    336.64016215382867   -29.291106005479325     3.3407075            147       4.393628             12.0              2              20.722881            20.389816            20.314632            20.135437            19.834932            19.251736            19.017338            18.078323            17.553974            17.651312            16.634884            16.984398000000002   0.10439393             0.13292415             0.23012565             0.16027175             0.120784216            0.028541762             0.05120945             0.011998803             0.010653518             0.010637026             0.010224547             0.009915115             0.42701100000000025      0.5243490000000008    0.0160348868270869      0.016045831832882114    ""                   ""                    "2MASX J22263365-2917276"                       336.6401273043   -29.2910806931   0.0           0.0           90.0            2       "22 26 33.63055" "-29 17 27.8905" Galaxy              "*  |G"                                                                                                 1023.2478     0.003419   ""                   ""             ""       0.8      -0.1     0.13       0.13       90           19.42    ""       17.67    15.574   14.345   13.631   ""       ""       ""       ""       ""       0.142394  
  SPLUS-n18s10    iDR3.SPLUS-n18s10.018606    163.1376638580591    -23.149877815633783     3.1536093            72        4.784949299999999    12.0              2              19.012413            18.876118            19.074049            18.736927            18.863062            18.740929            18.736328            18.469007            18.097668            18.332684            17.196596            17.689592            0.03759512             0.04569153             0.08271319             0.057710886            0.05846881             0.02110372              0.046101738            0.01915567              0.016941097             0.022494633             0.01885362              0.021727234             0.13632300000000086      0.37133900000000253   0.029545696927870714    0.02557225959340138     ""                   ""                    "6dFGS gJ105233.0-230900"                       163.1376018333   -23.1498979374   0.0           0.0           90.0            3       "10 52 33.02444" "-23 08 59.6326" Galaxy              "G  |*  |X"                                                                                             80683.1307    0.31775    ""                   ""             ""       0.1      0.33     ""         ""         ""           19.18    ""       18.08    ""       ""       ""       ""       ""       ""       ""       ""       0.217714  
  SPLUS-n06s45    iDR3.SPLUS-n06s45.032291    209.75538574667115   -6.557508782343381      2.6303287            59        4.210335700000001    10.0              3              99.0                 25.921217            99.0                 21.111412            20.69452             19.661394            19.519552            18.388674            17.623917000000006   17.581332999999994   17.290229999999998   17.195656            22.150692000000006     26.260296000000004     21.03001               0.47770637             0.30915824             0.048077434             0.08525925             0.019260276             0.012114637             0.013256173             0.02273831              0.015646933000000002    0.8073410000000081       0.7647569999999959    0.023381282133409727    0.022753519754929015    ""                   ""                    "LCRS B135623.8-061854"                         209.755375       -6.5575277778    2.5           2.5           90.0            0       "13 59 01.29   " "-06 33 27.1   " Galaxy              G                                                                                                       ""            ""         ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.078445  
  SPLUS-n05n50    iDR3.SPLUS-n05n50.033851    216.7245347178442    5.421495966728137       2.0948849            44        3.8970935            12.0              0              18.698143            18.467796            18.605482            18.797703            18.510954            18.631948            18.606121            18.314936            17.949254999999994   18.27288             17.21088             17.642097            0.027220033            0.033283837000000004   0.05685216200000001    0.054563373            0.043099582            0.017763263999999997    0.036026835            0.013960118999999998    0.013310259             0.02082863              0.016120018             0.017571336             0.04205599999999876      0.3656810000000057    0.02507422481695219     0.01928854367600732     ""                   ""                    "2MASS J14265388+0525172"                       216.7244746432   5.4214776789     0.0           0.0           90.0            12      "14 26 53.87391" "+05 25 17.3196" QSO                 "IR |QSO|QSO|QSO|*"                                                                                     81752.0022    0.32283    ""                   ""             ""       0.12     -0.22    ""         ""         ""           18.22    17.97    ""       16.278   15.992   14.974   17.863   17.737   17.585   17.585   17.173   0.225142  
  STRIPE82-0052   iDR3.STRIPE82-0052.004127   36.07140219729569    0.10724100290268007     5.6573796            54        5.162537             11.0              0              99.0                 19.900661            19.123499            19.402824            19.197428            23.04192             18.759577            19.825329            18.635178            18.296654            18.29779             18.224796            21.780437              0.11966386             0.093969226            0.10240747             0.07842112             0.9615479               0.047981516            0.05410597              0.02382398              0.019785916             0.04349586              0.03263217              1.5286749999999998       1.1901510000000002    0.057610228793157525    0.05911884651007072     ""                   ""                    "SHOC 120"                                      36.0716373825    0.1071549835     0.003         0.003         90.0            2       "02 24 17.19297" "+00 06 25.7579" Seyfert_1           "*  |G  |Sy1|AGN|H2G"                                                                                   17448.8358    0.06       ""                   ""             ""       ""       ""       ""         ""         ""           ""       18.9     ""       ""       ""       ""       18.957   18.057   17.756   17.402   17.406   0.90152   
  SPLUS-s31s40    iDR3.SPLUS-s31s40.034520    69.36498887633438    -39.53643058737264      4.494557             30        3.7064812000000007   12.0              3              21.43255             20.540089            21.276016            20.507366            20.441265            20.30982             19.439207            19.730822            18.686687            18.776764            18.11988             18.495941            0.22841868             0.1921572              0.5763607              0.35634312             0.23618674             0.06818613              0.07826876             0.04296646              0.022477765             0.027191957000000003    0.035388432000000004    0.038648944             0.9540579999999999       1.0441350000000007    0.05084800104646641     0.048490891972893475    ""                   ""                    "LEDA  597074"                                  69.3655833333    -39.5366388889   2.5           2.5           90.0            2       "04 37 27.74   " "-39 32 11.9   " Galaxy              G                                                                                                       ""            ""         ""                   ""             ""       ""       ""       0.38       0.11       84           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.812813  
