# ra,dec,radius
158.78377078692697,-35.33975335586624,2.0
157.7403937388915,-34.707916103906605,2.0
157.58129085382112,-34.40509005305315,2.0
157.85298382715715,-33.909342805779445,2.0
158.0648089559287,-33.911860981978144,2.0
157.0208497074673,-35.3376495815456,2.0
156.40976195921832,-34.768310293372984,2.0
156.9269913575043,-34.65910617284504,2.0
157.1051902305326,-34.224101842017014,2.0
156.61028824436048,-33.925989239131134,2.0
158.45436450609913,-36.00494408624369,2.0
157.39557684206983,-35.541176352163525,2.0
157.60545589106894,-35.56351427751332,2.0
158.47119626262332,-35.270071280411464,2.0
158.24962934431258,-35.27867821150978,2.0
158.17923224446042,-35.273244000547095,2.0
158.35861318641946,-35.279696003919256,2.0
156.5882166505913,-35.845307355763595,2.0
157.2958877895611,-35.68779689735992,2.0
156.78963642832198,-35.27473513810962,2.0
156.6417685585297,-35.28145875427563,2.0
156.44862825416018,-35.28349407185811,2.0
156.2895097678711,-35.280805698043444,2.0
149.9152084912595,-24.103724530417413,2.0
150.3829599194086,-24.02578258637063,2.0
151.44028216685064,-23.830518990795284,2.0
149.91184575087945,-23.740447830867158,2.0
150.21840840834727,-23.17681262368302,2.0
154.12515159910782,-24.234446798165308,2.0
155.15874095201357,-23.75442564314773,2.0
157.69345062799584,-24.28660712150457,2.0
157.67872641111202,-23.416517637588502,2.0
156.9787260191119,-23.20088114343781,2.0
158.43457784673643,-24.148744122307853,2.0
158.87593706522492,-24.109974038834004,2.0
159.02245293977106,-23.61943836682439,2.0
160.0374097447351,-23.820434361255522,2.0
159.85836435775968,-23.75467363684896,2.0
159.62643334547482,-23.54853332522397,2.0
161.69807525519326,-23.327733093312265,2.0
163.27411690715056,-23.84018771544694,2.0
164.89646629237396,-24.585950792551998,2.0
164.35948087574332,-23.612211049774675,2.0
151.34270852038009,-25.9741200100948,2.0
151.23946241916,-25.971282540126406,2.0
151.1347043135549,-25.507009627076613,2.0
151.1942331966039,-25.132003432206613,2.0
152.67972159712926,-25.29911784017677,2.0
155.3235056116639,-25.44855783056095,2.0
155.52593236222282,-25.366431473843154,2.0
157.443758907995,-25.820265974347734,2.0
158.18035343726382,-25.784686909172592,2.0
158.25819088630362,-25.982371740442304,2.0
159.67291882499615,-25.59228621270723,2.0
159.04032607045974,-24.69880218552045,2.0
160.519879310738,-25.888672059096194,2.0
161.22464879948174,-24.744711246186018,2.0
161.0488840874096,-24.589341959662494,2.0
160.95482913098834,-24.590166306625942,2.0
162.07945526982047,-25.998926677080952,2.0
161.44262007211347,-24.642549825874003,2.0
163.68074250506263,-25.999007007504453,2.0
164.00356214496782,-25.564936074026104,2.0
149.92997190978863,-26.45242440385051,2.0
151.59250580663203,-26.832557861011033,2.0
152.69951297278485,-27.03893535046699,2.0
153.51872753492805,-26.869800764252574,2.0
154.9284166041635,-26.52548431061678,2.0
155.75985035706492,-26.080026299889923,2.0
157.10398716245197,-27.180304744569305,2.0
157.83870288130248,-27.16228371260057,2.0
157.9113435119524,-26.63378202454385,2.0
