#Field ID RA DEC
SPLUS-n15s05 iDR3.SPLUS-n15s05.030293 156.1922208795262 -18.642300862355984
HYDRA-0017   iDR3.HYDRA-0017.020582  160.64851126043243	-23.933494922944615
HYDRA-0018   iDR3.HYDRA-0018.010019  160.9436683643086	-24.37500349736688
HYDRA-0030   iDR3.HYDRA-0030.085453  150.7278728767585  -26.149887286064303
HYDRA-0045   iDR3.HYDRA-0045.075630  160.07823354097073  -27.774363376972357
HYDRA-0076   iDR3.HYDRA-0076.066103   164.7459588212315  -31.60947413507693
SPLUS-s29s46 iDR3.SPLUS-s29s46.072842 316.47319569385303 -37.14456181858315
HYDRA-0145   iDR3.HYDRA-0145.118931   151.43944948967368 -44.35664815997231
HYDRA-0080   iDR3.HYDRA-0080.032627   155.1756706372574  -33.833990076273196
HYDRA-0103   iDR3.HYDRA-0103.080579   151.14107030288636 -37.335568889758896
HYDRA-0142   iDR3.HYDRA-0142.045671   159.56126817312304 -43.42941925667293
HYDRA-0156   iDR3.HYDRA-0156.018357   157.89593391214873 -46.44420284162901
HYDRA-0165   iDR3.HYDRA-0165.123134   159.9998687263755  -47.02397174690933
HYDRA-0098   iDR3.HYDRA-0098.078209   157.29582790778508 -35.687818629569826
HYDRA-0093   iDR3.HYDRA-0093.041181   162.16979020616287 -35.09014923662983
SPLUS-n15s22    iDR3.SPLUS-n15s22.027016    180.4845311148264    -18.87743596736424
SPLUS-n16s09    iDR3.SPLUS-n16s09.034077    161.9671272252362    -20.08148354643084
SPLUS-n17s04    iDR3.SPLUS-n17s04.005160    154.8382251423767    -22.14259842833651
STRIPE82-0004   iDR3.STRIPE82-0004.011411   1.9728879545721905   0.2999103172053955
STRIPE82-0008   iDR3.STRIPE82-0008.021736   4.416543859611166    0.5062627804218517
STRIPE82-0023   iDR3.STRIPE82-0023.009991   16.21112620279986    -1.1413143637354546
STRIPE82-0023   iDR3.STRIPE82-0023.031284   15.625098200551925   -0.5352093094283729
