# Field        ID                       RA                 DEC                 FWHM               ISOarea KRON_RADIUS        nDet_magPStotal PhotoFlagDet U_PStotal          F378_PStotal       F395_PStotal       F410_PStotal       F430_PStotal       G_PStotal          F515_PStotal       R_PStotal          F660_PStotal       I_PStotal          F861_PStotal       Z_PStotal          e_U_PStotal           e_F378_PStotal       e_F395_PStotal       e_F410_PStotal        e_F430_PStotal        e_G_PStotal           e_F515_PStotal        e_R_PStotal           e_F660_PStotal        e_I_PStotal           e_F861_PStotal        e_Z_PStotal           r_-_i                r_-_Halpha          e(r_-_i)              e(r_-_Halpha)         main_id                       ra_x           dec_x          coo_err_maj coo_err_min coo_err_angle nbref ra_sexa        dec_sexa       main_type       other_types                                         radvel      redshift sp_type morph_type plx    pmra    pmdec  size_maj size_min size_angle B      V     R_x    J      H      K      u g      r_xa   i      z      angDist 
  HYDRA-D-0001 iDR3.HYDRA-D-0001.058470 157.7403937388915  -34.707916103906605 4.278837           498     3.740969           12.0            2            19.054428          18.487862          18.467802          18.358326          18.266453          18.030691          17.820057000000002 17.480165          16.915588          17.271168          17.109726000000002 17.034702          0.019972483           0.020954488          0.03414531           0.025649158           0.022989891000000002  0.0069260155          0.013675848           0.004708339000000001  0.004134431           0.0047707240000000005 0.00839576            0.0060968143          0.2089970000000001   0.5645769999999999  0.0067028548860240894 0.006265937745675583  "LEDA   83158"                157.74         -34.7080555556 ""          ""          172.0         2     "10 30 57.6    " "-34 42 29     " GinGroup        "G  |GiG"                                           ""          ""       ""      E          ""     ""      ""     0.22     0.18     32767      17.5   ""    ""     ""     ""     ""     "" ""     ""     ""     ""     1.268788
  HYDRA-D-0001 iDR3.HYDRA-D-0001.095478 157.58129085382112 -34.40509005305315  44.63642           5845    3.697171           12.0            2            19.250156          18.791082          18.543337          18.316872          18.118923000000002 17.867151          17.694029999999998 17.209835          16.916687          16.87669           16.656284          16.563282          0.022476459           0.02549911           0.03515853           0.025085647000000003  0.020810231999999998  0.0063313959999999996 0.012672912           0.004032031           0.0041303765000000004 0.0037827648          0.006233780600000001  0.0044375565          0.3331450000000018   0.2931480000000022  0.005528705410589358  0.005772112612961848  "ESO 375-47"                  157.5814198457 -34.4049131111 0.001       0.001       90.0          28    "10 30 19.54076" "-34 24 17.6872" EmG             "HI |*  |G  |Rad|EmG|GiC|IR |G  |GiG"               3038.4311   0.010187 ""      Sb         ""     ""      ""     0.81     0.275    15         14.56  ""    13.46  11.818 11.185 10.939 "" ""     ""     ""     ""     0.743338
  HYDRA-D-0002 iDR3.HYDRA-D-0002.046991 156.9269913575043  -34.65910617284504  1.729584           142     2.7550101000000002 12.0            0            18.77721           18.323963          18.08413           17.466345          17.316282          16.964195          16.628014          16.269375          16.030376          15.980019          15.750677          15.817704          0.028230196000000003  0.033053916          0.044201594000000004 0.023371404           0.020057872           0.006343310699999999  0.011135059           0.004176657           0.0044052247          0.0038125522          0.0061584343000000005 0.004584409           0.2893559999999997   0.23899899999999974 0.005655087795372751  0.006070458660854145  "CRTS J102742.4-343933"       156.9266666667 -34.6593055556 ""          ""          172.0         2     "10 27 42.40   " "-34 39 33.5   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     16.33 ""     ""     ""     ""     "" ""     ""     ""     ""     1.199843
  HYDRA-D-0002 iDR3.HYDRA-D-0002.061077 156.62735548092124 -34.45296960837451  1.7571789          199     2.7418225          12.0            0            17.524452          17.35577           17.23787           16.776705          16.59469           16.300720000000002 16.053764          15.851420999999998 15.605286999999999 15.691876999999998 15.332707999999998 15.618839000000001 0.012575103999999998  0.01740913           0.024513538999999997 0.015200893           0.012986122           0.0045364015          0.008167256           0.0033912458          0.0035684122999999996 0.0032994687          0.004918865           0.0041118516          0.15954400000000035  0.24613399999999963 0.0047314946664132815 0.004922815700268386  "CRTS J102630.5-342711"       156.6270833333 -34.4532777778 ""          ""          172.0         1     "10 26 30.50   " "-34 27 11.8   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     15.61 ""     ""     ""     ""     "" ""     ""     ""     ""     1.37239 
  HYDRA-D-0002 iDR3.HYDRA-D-0002.076161 157.1051902305326  -34.224101842017014 1.7425             98      2.892184           12.0            0            19.282343          19.269209          18.794273          17.965803          17.689386          17.347363          16.88961           16.550774          16.042476999999998 16.243729000000002 15.643463          16.059254          0.04013667            0.06639146           0.0750283            0.032594737           0.025392361000000002  0.00771344            0.012822356000000002  0.0047817607          0.0043972954          0.0043724715          0.00579361            0.005253848           0.3070449999999987   0.5082970000000024  0.006479486276733421  0.006496263712852616  "CRTS J102825.1-341324"       157.104625     -34.2234444444 ""          ""          172.0         1     "10 28 25.11   " "-34 13 24.4   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     16.3  ""     ""     ""     ""     "" ""     ""     ""     ""     2.903744
  HYDRA-D-0003 iDR3.HYDRA-D-0003.023102 157.6274499803631  -36.47975718945753  17.8304            539     4.822265           12.0            2            20.085055999999998 19.409653          19.687931          19.514457999999998 19.510303          19.197810999999998 18.360804          19.071598          18.196707          19.127422          19.081997          18.995535          0.046462823           0.042859048          0.08863716           0.06962932            0.06080438            0.015429783999999998  0.020233326           0.014077755           0.008902886           0.019953363000000002  0.040891937999999996  0.033057366           -0.05582399999999765 0.8748910000000016  0.02441966176771894   0.016656667282773617  "LEDA  636268"                157.6270833333 -36.48         ""          ""          172.0         1     "10 30 30.5    " "-36 28 48     " Galaxy          G                                                   ""          ""       ""      ""         ""     ""      ""     0.54     0.17     179        ""     ""    ""     ""     ""     ""     "" ""     ""     ""     ""     1.37494 
  HYDRA-D-0003 iDR3.HYDRA-D-0003.051974 157.77469971076303 -36.12891168420186  2.1749659          268     2.897389           12.0            2            17.42547           16.937714          16.747728          16.390682          16.251165          16.177227          15.890407999999999 15.823485          15.651382          15.700294          15.482605          15.658791          0.0071234466000000005 0.007847475          0.010214964          0.0075233174          0.0062152706          0.002599795           0.0044130348          0.0020275153          0.0021448284          0.002034715           0.0031960715999999998 0.0026981996000000003 0.12319100000000027  0.1721029999999999  0.002872435103350307  0.00295145847966402   "CRTS J103105.8-360742"       157.7742916667 -36.1285555556 ""          ""          172.0         2     "10 31 05.83   " "-36 07 42.8   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     15.68 ""     ""     ""     ""     "" ""     ""     ""     ""     1.746825
  HYDRA-D-0003 iDR3.HYDRA-D-0003.103864 157.60545589106894 -35.56351427751332  30.379143          3781    3.7137157999999997 12.0            2            20.00003           19.590294          19.353195          19.03868           18.752205          18.308605          18.095047          17.399479          17.084857999999997 16.936237          16.70337           16.574339000000002 0.043160763           0.04951914           0.066475764          0.047164887           0.032952048           0.008489323           0.01679069            0.0046835309999999995 0.0045350683          0.0041326754999999995 0.0066309553000000005 0.0048554405          0.46324200000000104  0.3146210000000025  0.006246156371422448  0.0065193793503389484 "2MASX J10302530-3533483"     157.6054663969 -35.5634903479 0.001       0.001       90.0          14    "10 30 25.31194" "-35 33 48.5653" GinGroup        "G  |*  |G  |GiG|G"                                 2140.0      0.007164 ""      S0...      1.7947 1.67    2.71   0.63     0.227    45         15.5   ""    ""     12.386 11.807 11.404 "" ""     ""     ""     ""     0.091476
  HYDRA-D-0004 iDR3.HYDRA-D-0004.087444 157.2958877895611  -35.68779689735992  20.862492          3062    3.66837            12.0            0            19.227093          18.805320000000002 18.461154999999998 18.371696          18.32215           18.058151000000002 17.926029999999997 17.593534          17.355688          17.33394           17.219164000000003 17.125854          0.030317865           0.034092236          0.042437498          0.031898953           0.028204784           0.008839319           0.018075015           0.0064816675          0.0071357022999999995 0.006898311           0.011849053           0.009511888000000001  0.2595939999999999   0.23784599999999756 0.009465659418829585  0.00964003427871403   MCG-06-23-034                 157.2960798921 -35.6879609711 0.002       0.002       90.0          10    "10 29 11.05917" "-35 41 16.6595" GinGroup        "HI |IR |G  |*  |G  |GiG|G"                         2104.0      0.007043 ""      Sbr        ""     ""      ""     0.343    0.295    125        15.0   ""    ""     12.91  12.264 12.03  "" ""     ""     ""     ""     0.815101
  HYDRA-D-0004 iDR3.HYDRA-D-0004.114738 155.98852459525958 -35.44519083947975  2.294864           58      3.6838498          12.0            0            20.738096          20.055222          19.91955           19.352642000000003 19.196672          18.820107          18.507797          18.158564000000002 17.804835999999998 17.786087          17.486076          17.633952999999998 0.10485742            0.0934859            0.14144954           0.071037285           0.056886043           0.014643275           0.027862946           0.00930333            0.009421460999999999  0.009691817           0.014658906499999999  0.014449017           0.3724770000000035   0.3537280000000038  0.013434406047547804  0.013240690180780645  "CRTS J102357.3-352641"       155.9888333333 -35.4449166667 ""          ""          172.0         1     "10 23 57.32   " "-35 26 41.7   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     18.02 ""     ""     ""     ""     "" ""     ""     ""     ""     1.339438
