# ra,dec,radius
161.021700669606,-25.933725909207645,2.0
151.63902577766424,-29.93550371363763,2.0
180.4772638227824,-18.88438817240201,2.0
180.4707539538797,-18.869071106666347,2.0
159.62643334547482,-23.54853332522397,2.0
161.69807525519326,-23.32773309331226,2.0
163.8401072399262,-23.42423690390457,2.0
159.52433508127856,-25.094460011334316,2.0
152.78800257646662,-28.085913713105956,2.0
151.64125084856218,-29.93654830008841,2.0
160.8791677599853,-30.77221131800008,2.0
160.36546852844964,-31.780316177810057,2.0
162.17634873432067,-32.6437113818742,2.0
155.19358538472298,-35.964208769590364,2.0
158.82799732327132,-36.87848044358572,2.0
164.17585094562966,-36.94674032874089,2.0
163.1105632902252,-38.33446119230244,2.0
150.06614098142242,-39.646452843114034,2.0
150.97444955969056,-39.325315116316375,2.0
159.95766213671803,-39.81029560221932,2.0
154.40485551535713,-40.10012499156397,2.0
164.98312894532123,-39.98797149250984,2.0
157.81430944262675,-43.90432999222294,2.0
156.9703863167105,-43.90311040224713,2.0
151.46046729561297,-44.22253823581688,2.0
153.81096712359866,-44.46008922203048,2.0
156.97034612111383,-43.90320661166486,2.0
155.70206412488218,-45.89548222122048,2.0
157.8226182390652,-45.21203446196877,2.0
159.10127919248197,-47.71499001950672,2.0
159.9998687263755,-47.023971746909325,2.0
162.49143870969158,-47.69420283742984,2.0
158.17859625462543,-33.90953396493444,2.0
5.595936968033572,-1.3033310569696066,2.0
9.89493608957293,0.8602458369384121,2.0
15.00323973740299,-0.5026619610066824,2.0
17.256603326003162,1.3781935749384482,2.0
18.89077699675322,-0.8587455347938298,2.0
36.61785108970139,1.1604400554801353,2.0
59.76629933224044,1.359321839400579,2.0
300.9733329072736,-1.1939686483323426,2.0
300.5496233274733,-1.0569052678192732,2.0
300.04527813224405,-0.6751174045555544,2.0
300.82619357803384,0.6829776454195251,2.0
302.7008333786705,-0.2177414034676869,2.0
303.0812397083715,0.6216760975683912,2.0
304.1222172116527,0.7432210443182365,2.0
307.05008700522615,0.288400031713299,2.0
314.81972652068856,0.0765585477258264,2.0
314.61728084400653,1.4353722653193612,2.0
319.95913017840905,0.035139449262027,2.0
344.672536896105,0.7010042726315829,2.0
68.05701257992376,-32.92860400652713,2.0
70.74099264978827,-32.56883258346706,2.0
63.00488196203801,-32.8943347515897,2.0
63.00296609900155,-32.89680208521691,2.0
73.73061606777883,-35.86324536806955,2.0
51.9926898184399,-37.14818170304613,2.0
73.75077658898451,-37.25984603891258,2.0
63.89625433226905,-40.387696960088185,2.0
68.83252077391391,-42.20328938270354,2.0
74.22360306417467,-50.01134945560967,2.0
330.8803180654123,-26.1462055666095,2.0
332.34547450375544,-25.417946056108004,2.0
332.7416878016213,-25.07531023085714,2.0
332.2329099311068,-27.22278199790022,2.0
13.97147997409192,-28.91591361083288,2.0
21.99710751467788,-29.086653030427502,2.0
332.1040179939501,-29.050700899346214,2.0
333.5134692326156,-29.38272127795172,2.0
340.8584488076185,-30.269941699405987,2.0
16.722666519750696,-32.72831437441763,2.0
19.15999417596711,-32.92752270653384,2.0
19.97594947041034,-34.24999710931423,2.0
315.8064722671553,-29.750620951606862,2.0
317.1792239191054,-30.77558855478794,2.0
318.8297135149132,-33.22628044991965,2.0
317.5018582718279,-37.50331365460763,2.0
314.7498540986363,-38.776753269410825,2.0
316.7000786165858,-40.334348615950496,2.0
329.3658517917474,-3.2052445223161725,2.0
328.0731299466907,-2.8875318890509862,2.0
330.6027257674145,-3.289157735228456,2.0
151.79613569006344,-19.06794716771129,2.0
171.03898275409756,-18.54010963837252,2.0
179.59916114110445,-19.517546281041724,2.0
180.482084992802,-18.87855472820429,2.0
180.481983657978,-18.870542013361973,2.0
180.46003622778284,-18.870100269365853,2.0
180.4806328363593,-18.880180958610644,2.0
180.48142237348915,-18.873019641423856,2.0
180.46006145306487,-18.87215768996868,2.0
180.4635139848257,-18.8625819554819,2.0
180.47726007541223,-18.868760846298173,2.0
150.7687797537192,-19.82725437530812,2.0
155.04676705156544,-20.95809056061223,2.0
158.72747432181612,-20.548791249883188,2.0
177.79804350818304,-20.59944247138972,2.0
177.79806788352352,-20.599463052775565,2.0
179.36682377284328,-19.624040211696983,2.0
151.72227047025876,-21.919115277643016,2.0
152.32401658754335,-21.28425540632713,2.0
155.3376370346406,-21.607687357095795,2.0
161.9348517270216,-20.96356099589758,2.0
180.25209019782352,-20.97487286420618,2.0
163.84009494937516,-23.424249462174128,2.0
165.9423233893419,-23.245019645533223,2.0
169.04071143767808,-22.37648261311801,2.0
180.52810919054875,-23.051671253398336,2.0
210.3505846173844,-6.719768099416888,2.0
207.22978642454552,-9.488561599696409,2.0
207.1991194869743,-10.178763322428006,2.0
196.2068792963303,-13.191177561311532,2.0
191.1012797056277,-14.464772270334322,2.0
