# RAJ2000 DEJ2000
150.62938 0.000615
173.76976 -0.121563
175.97347 -0.003002
6.9964 0.0453
8.896247 -0.003021
14.6091 0.016
14.6091 0.016
18.270861 0.016878
21.670172 0.037702
7.728173 0.000296
7.728173 0.000296
7.728173 0.000296
11.52548 0.007944
13.412783 -0.021087
13.412783 -0.021087
21.670204 0.037956
21.670204 0.037956
14.609197 0.016149
10.81932 0.038728
8.895682 -0.001733
3.559821 -0.024707
3.559821 -0.024707
175.97347 -0.003002
183.15538 0.017641
176.69472 -2.366323
180.44926 -2.488722
331.79108 -0.003346
345.34626 0.009053
6.9964 0.0453
21.670172 0.037702
43.861436 -0.01705
45.787818 -0.01777
178.47535 2.401072
346.98108 -0.018126
18.270048 0.018582
18.270048 0.018582
18.270048 0.018582
18.270048 0.018582
19.835206 0.001785
23.636913 0.091385
6.865126 0.002994
16.974864 0.002356
18.659323 0.002027
22.030744 0.002137
22.030744 0.002137
30.454159 0.00178
33.824418 0.001711
35.509837 0.001491
19.175917 0.055291
17.724619 0.002708
17.724619 0.002708
17.724619 0.002708
17.724619 0.002708
19.949892 0.003051
19.949892 0.003051
22.174288 0.002591
328.560897 -0.810408
328.560897 -0.810408
330.576351 -0.811451
332.586147 -0.80954
43.861436 -0.01705
43.861436 -0.01705
45.787818 -0.01777
45.787818 -0.01777
45.787818 -0.01777
45.787818 -0.01777
32.232981 -0.059253
34.081409 -0.01593
37.794055 0.002418
41.657903 -0.017602
45.409918 -0.007831
47.353315 0.028059
35.88324 0.12512
55.49172 0.013932
55.49172 0.013932
217.13079 6.334807
221.26608 6.052665
221.26608 6.052665
39.000644 -0.000788
39.000644 -0.000788
38.998341 0.001601
40.896406 -0.000698
44.079248 -0.058963
41.983428 -0.208893
177.98032 -0.06452
179.56042 -0.015428
179.56042 -0.015428
179.56042 -0.015428
179.56042 -0.015428
183.15538 0.017641
11.997802 0.002963
30.997693 0.001411
16.000019 0.004516
174.818464 -1.637229
179.242187 -1.624821
179.242187 -1.624821
178.40023 -2.445517
178.40023 -2.445517
178.40023 -2.445517
178.40023 -2.445517
178.40023 -2.445517
180.44926 -2.488722
208.51934 -2.315282
208.51934 -2.315282
310.1133 0.00691
311.80159 0.005415
311.80159 0.005415
313.41362 0.030638
313.41362 0.030638
314.93096 -0.00604
314.93096 -0.00604
325.81468 -0.046652
313.4141 0.029927
337.5374 -0.037744
337.5374 -0.037744
337.5374 -0.037744
339.47271 -0.019885
339.47271 -0.019885
341.40996 -0.037734
184.15568 2.439571
186.18197 2.509877
186.18197 2.509877
188.13862 2.442984
207.77216 2.300523
149.87706 3.922448
311.80145 0.005257
310.1131 0.007025
335.61545 -0.017789
335.61568 -0.017785
325.49963 0.00039
325.49963 0.00039
328.109154 0.002175
333.165616 0.002465
336.534183 0.002619
339.904345 0.002768
341.589441 0.002438
343.274614 0.002059
359.086695 0.75023
353.75763 0.904019
348.020937 0.898157
341.662037 1.017498
354.25647 -1.055753
354.25647 -1.055753
184.84543 -0.019313
184.84543 -0.019313
186.70742 -0.018268
186.70742 -0.018268
186.70742 -0.018268
186.70742 -0.018268
173.68241 -2.418003
182.76226 -2.402629
187.03207 -2.512996
187.03207 -2.512996
187.03207 -2.512996
327.90851 -0.001978
329.74636 -0.044184
329.74636 -0.044184
347.35862 -0.006815
351.20276 0.113079
351.20276 0.113079
351.20276 0.113079
353.29544 -0.03997
353.29544 -0.03997
355.3896 0.0444
355.3896 0.0444
3.559383 -0.024859
5.222923 -0.034972
6.9964 0.0453
21.670172 0.037702
35.883485 0.123762
35.882907 0.123783
39.823125 0.036658
41.998376 0.003638
41.998376 0.003638
43.861436 -0.01705
49.687368 0.015474
53.523259 0.030943
55.491857 0.01239
55.491857 0.01239
55.491857 0.01239
150.94843 1.900563
176.33376 2.44842
348.84266 -0.02255
350.73177 -0.018561
350.73177 -0.018561
352.62577 -0.036773
352.62577 -0.036773
352.62577 -0.036773
151.78235 4.016665
215.69577 4.105165
1.824738 -0.004908
337.22901 -0.042757
339.2229 -0.005669
345.11404 0.020586
345.11404 0.020586
354.52986 -0.007018
354.52986 -0.007018
0.145377 -0.018651
2.02629 0.011883
3.99479 0.010018
3.99479 0.010018
3.99479 0.010018
19.00996 0.010458
19.00996 0.010458
20.86472 0.017194
20.86472 0.017194
20.86472 0.017194
22.757653 -0.037862
30.369028 -0.008157
5.849777 -0.012071
13.412783 -0.021087
32.232981 -0.059253
47.353315 0.028059
53.523038 0.030956
314.93139 -0.00774
21.670204 0.037956
3.559821 -0.024707
313.41349 0.030667
55.491741 0.014027
47.353315 0.028059
49.26244 0.005948
53.277809 0.003291
55.400479 0.004198
55.400479 0.004198
45.787129 -0.016687
49.686745 0.015552
331.79202 -0.002716
335.61546 -0.018205
55.491702 0.014046
49.686868 0.015384
45.786739 -0.017071
43.861346 -0.017069
43.861346 -0.017069
41.998444 0.004236
37.84648 -0.059105
37.84648 -0.059105
37.84648 -0.059105
33.683015 -0.032576
23.63683 0.091476
1.824694 -0.004675
353.29508 -0.039474
351.20228 0.114559
351.20228 0.114559
349.25632 0.029324
339.47292 -0.019215
337.53778 -0.038547
335.61561 -0.017406
335.61561 -0.017406
329.74685 -0.044193
329.74685 -0.044193
329.74685 -0.044193
314.93114 -0.006518
57.474247 -0.040167
329.74658 -0.043832
329.74658 -0.043832
329.74658 -0.043832
331.79209 -0.002727
333.67718 -0.018856
353.29484 -0.039589
355.38993 0.044719
5.22336 -0.03325
6.996914 0.04542
8.895387 -0.002501
16.470496 -0.003575
18.270048 0.018582
41.999258 0.004429
43.861525 -0.017388
43.861525 -0.017388
43.861525 -0.017388
43.861525 -0.017388
43.861525 -0.017388
45.787204 -0.016845
317.00028 0.000156
317.00028 0.000156
186.0002 0.000131
35.882901 0.125101
181.00019 -0.000443
55.149789 0.000207
49.149616 0.000482
9.000769 0.005359
10.001467 0.001505
11.000921 0.001346
177.245542 0.005667
182.666831 0.00367
186.795321 0.00102
186.795321 0.00102
198.995128 0.097915
210.294785 -0.027433
323.053642 0.003286
346.64395 0.002021
