# ID RA DEC Redshift
LAMOST221722.46+010436.3 334.34357 1.07676 2.7941
LAMOST025710.60-001331.7 44.29417 -0.22546 0.0160281
LAMOST030102.94-004423.6 45.26226 -0.73989 0.00903995
LAMOST030157.88+001146.3 45.491153 0.196181 -0.00030989
LAMOST115036.31-003403.0 177.651294 -0.567501 0.00576364
LAMOST122958.86+000138.0 187.495258 0.027227 0.00805733
LAMOST025216.77+001741.2 43.069871 0.294776 0.00502059
LAMOST025607.24+011038.7 44.03017 1.177422 1.34768
LAMOST122815.96+014944.1 187.066518 1.82893 0.00298912
LAMOST215010.53-001000.7 327.54386 -0.166866 0.33466
LAMOST215619.81-011003.6 329.08253 -1.167666 0.016277
LAMOST215444.76-023811.8 328.686516 -2.636616 1.3675
LAMOST215417.99+005631.7 328.57496 0.942131 0.009954
LAMOST215902.91-003318.5 329.76212 -0.55513 0.01
LAMOST030757.55+000712.0 46.989798 0.12001 -9999.0
LAMOST025628.43+003628.3 44.118465 0.607859 -0.00121214
LAMOST115951.72-003859.4 179.965496 -0.649838 -3.612e-05
LAMOST120508.77+004237.0 181.286553 0.710267 0.00061295
LAMOST115511.14+002905.1 178.7964 0.48476 0.0109035
LAMOST114253.57+000947.7 175.72321 0.16326 0.0184332
LAMOST034408.25-003105.8 56.034388 -0.518287 -9999.0
LAMOST215619.81-011003.6 329.08253 -1.167666 0.016285
LAMOST215933.97-010856.3 329.891527 -1.148964 -0.00058701
LAMOST220242.61-012528.1 330.67756 -1.424467 1.37148
LAMOST213338.14+012628.8 323.408931 1.441333 1.0005
LAMOST220822.59+012408.9 332.094105 1.402476 -9999.0
LAMOST114145.64-015405.1 175.440155 -1.901418 0.006047
LAMOST114818.19-013823.7 177.075783 -1.63993 0.013038
LAMOST114145.64-015405.1 175.440155 -1.901418 0.006019
LAMOST115748.00+014320.8 179.45 1.722435 1.36
LAMOST224352.19-002300.0 340.96744 -0.383335 0.009664
LAMOST012926.59-011159.2 22.360793 -1.199767 0.0164777
LAMOST012226.20-000729.8 20.609155 -0.124958 0.00022175
LAMOST012226.20-000729.8 20.609155 -0.124958 0.00020791
LAMOST012226.20-000729.8 20.609155 -0.124958 0.00021488
LAMOST012226.20-000729.8 20.609155 -0.124958 0.00019959
LAMOST115951.72-003859.4 179.965508 -0.649824 -2.999e-05
LAMOST121214.73+000420.3 183.061375 0.072293 0.00781508
LAMOST120700.40+011156.3 181.751655 1.19897 -9999.0
LAMOST025710.60-001331.7 44.29417 -0.22546 0.0159557
LAMOST030102.94-004423.6 45.26226 -0.73989 0.00867572
LAMOST015409.27+002645.3 28.53862 0.44591 -0.00308016
LAMOST014748.61+004326.5 26.952544 0.724033 -9999.0
LAMOST012301.79+000323.3 20.75747 0.05648 1.36157
LAMOST012644.23-011833.1 21.68428 -1.3092 0.0162448
LAMOST012120.90+000533.0 20.33709 0.09251 0.0124751
LAMOST011829.63+004549.5 19.62345 0.76374 0.313434
LAMOST221815.01+011517.1 334.562546 1.254754 0.0127846
LAMOST005343.78+012147.7 13.432433 1.363237 1.3599
LAMOST015813.75+010143.6 29.557277 1.028764 -0.0001614
LAMOST142855.37+050021.9 217.2307 5.006086 1.37727
LAMOST142710.79+050758.6 216.79497 5.132932 0.00534
LAMOST121214.73+000420.3 183.061375 0.072293 0.00776262
LAMOST215613.86-010943.2 329.057742 -1.162005 0.0161663
LAMOST001526.53+001813.1 3.860527 0.303647 1.36615
LAMOST233159.73-004819.0 352.99887 -0.80528 0.0176716
LAMOST233646.87+003724.3 354.195301 0.623404 0.00881711
LAMOST120038.28+011246.3 180.15948 1.212869 -9999.0
LAMOST115328.65-031347.1 178.369387 -3.22976 0.00483869
LAMOST120047.44-032512.4 180.197655 -3.420098 0.0050242
LAMOST115756.00+003853.7 179.483337 0.648256 0.00012282
LAMOST120047.69-000124.0 180.198705 -0.023336 0.00645197
LAMOST115951.72-003859.4 179.965508 -0.649824 -2.789e-05
LAMOST215752.19+001814.6 329.467456 0.30405 -0.00016304
LAMOST012226.19-000729.8 20.609128 -0.124931 0.00024175
LAMOST114145.64-015405.1 175.440155 -1.901418 0.006023
LAMOST114818.19-013823.7 177.075783 -1.63993 0.013071
LAMOST020922.00-005455.6 32.341666 -0.91544 1.372737
LAMOST020500.84+012404.8 31.253515 1.401328 0.015728
LAMOST020804.49-000023.2 32.018713 -0.00645 -9999.0
LAMOST230316.41-001211.5 345.81836 -0.203195 1.51505
LAMOST000230.71+004959.1 0.627957 0.833095 1.35864
LAMOST000710.02+005329.0 1.791736 0.891402 0.31591
LAMOST215903.12-015718.1 329.763009 -1.955022 0.0159479
LAMOST220224.65-031721.0 330.602698 -3.289175 -0.0002933
LAMOST215805.08-030748.6 329.521156 -3.13016 0.0163745
LAMOST030630.33-000623.0 46.62638 -0.10639 -0.00065515
LAMOST025100.65+001707.2 42.7527 0.28534 2.45532
LAMOST025628.43+003628.3 44.11847 0.60786 0.00729849
LAMOST025607.26+011038.6 44.030234 1.177382 1.34961
LAMOST024624.14-002953.5 41.60057 -0.49819 0.00500863
LAMOST023628.77-005829.8 39.11989 -0.97494 -9999.0
LAMOST213455.08+001056.9 323.729502 0.18246 3.29682
LAMOST213338.14+012628.8 323.408931 1.441333 0.00028918
LAMOST213455.08+001056.9 323.729502 0.18246 3.28876
LAMOST213818.97+011222.4 324.57906 1.206231 0.343778
LAMOST123103.90+014034.5 187.76625 1.676237 0.00264982
LAMOST121855.80+020002.2 184.73252 2.000607 0.327502
LAMOST233159.73-004819.0 352.998883 -0.805278 0.0176963
LAMOST233646.87+003724.3 354.195301 0.623404 0.00882257
LAMOST213245.25+000146.4 323.18854 0.029561 0.231905
LAMOST211913.04-000238.2 319.80432 -0.04394 -2.772e-05
LAMOST213338.15+012629.4 323.408946 1.441492 1.0
LAMOST233721.65+002329.3 354.340219 0.391465 0.00886511
LAMOST030434.75-002830.8 46.144794 -0.475232 0.00562699
LAMOST030612.72+012157.3 46.552994 1.365928 1.3358
LAMOST030757.55+000711.9 46.989794 0.119984 -9999.0
LAMOST034408.26-003105.9 56.034411 -0.518293 5.484e-05
LAMOST035057.84+002533.7 57.741004 0.426025 -9999.0
LAMOST035538.45+002835.0 58.910218 0.476383 1.35535
LAMOST034247.71+010932.9 55.69881 1.159136 0.358567
LAMOST224531.20-004509.6 341.37998 -0.752655 1.378075
LAMOST223723.84-010120.4 339.349354 -1.022337 0.016068
LAMOST005018.76+000203.4 12.57817 0.03429 -0.00016528
LAMOST005504.97-004937.5 13.770698 -0.827076 -0.00012541
LAMOST030612.72+012157.3 46.55299 1.365928 1.337728
