# Field           ID                          RA                   DEC                      FWHM         FWHM_n       A           B            ISOarea   KRON_RADIUS   PhotoFlagDet   s2n_Det_iso   U_PStotal   F378_PStotal   F395_PStotal   F410_PStotal   F430_PStotal   G_PStotal   F515_PStotal   R_PStotal   F660_PStotal   I_PStotal   F861_PStotal   Z_PStotal   e_U_PStotal   e_F378_PStotal   e_F395_PStotal   e_F410_PStotal   e_F430_PStotal   e_G_PStotal   e_F515_PStotal   e_R_PStotal   e_F660_PStotal   e_I_PStotal    e_F861_PStotal   e_Z_PStotal    F378_iso    F395_iso    F410_iso    F430_iso    G_iso       F515_iso    R_iso       F660_iso    I_iso       F861_iso    Z_iso        e_U_iso       e_F378_iso    e_F395_iso    e_F410_iso    e_F430_iso    e_G_iso        e_F515_iso    e_R_iso        e_F660_iso    e_I_iso       e_F861_iso     e_Z_iso       r_-_i                    r_-_J0660             e(r_-_i)               e(r_-_J0660)           main_id                                         ra_x             dec_x            coo_err_maj   coo_err_min   coo_err_angle   nbref   ra_sexa          dec_sexa         main_type           other_types                                                                                             radvel        redshift   sp_type              morph_type     plx      pmra     pmdec    size_maj   size_min   size_angle   B_x      V        R_x      J        H        K        u        g        r_xa     i        z        angDist   
  SPLUS-s23s12    iDR3.SPLUS-s23s12.010393    17.829265187901036   -30.00504645851688       5.1941743    2.0839016    2.4806046   1.5016673    27        5.817619      0              27.309338     20.893848   20.584349      20.380604      20.403797      20.76166       20.463436   20.36201       19.993439   19.550077      20.27065    19.585423      19.64024    0.11408768    0.18086086       0.22376393       0.20514223       0.2741271        0.06807523    0.14794384       0.046394166   0.037976585      0.08081568     0.10607371       0.088064015    20.625307   20.257366   20.739532   21.003603   20.405012   20.510365   19.885134   19.491503   20.07554    19.420074   19.478588    0.14277062    0.21275102    0.23088922    0.32025695    0.40210867    0.076031156    0.20067726    0.050962027    0.04102854    0.08954366    0.12190998     0.10062499    -0.2772110000000012      0.4433619999999969    0.09318579705458314    0.05995531375197515    "2QZ J011119.0-300019"                          17.8292916667    -30.0052222222   1.0           1.0           90.0            1       "01 11 19.03   " "-30 00 18.8   " EmG                 EmG|H2G                                                                                                 78912.4978    0.3094     ""                   ""             ""       ""       ""       ""         ""         ""           20.146   ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.638111  
  SPLUS-s23s15    iDR3.SPLUS-s23s15.033696    22.43905254837861    -28.86378225146541       3.1871438    1.4606698    1.6212857   1.1027405    19        4.3167615     0              28.266668     22.795414   21.257526      19.830444      19.430052      19.337223      21.450274   19.179703      19.858112   19.356888      20.012096   19.128532      19.363235   0.8243349     0.32148406       0.1532604        0.10742671       0.09721946       0.21717867    0.066532865      0.047849894   0.03579693       0.069958925    0.072770275      0.06995734     21.38524    20.0503     19.64056    19.467932   21.461355   19.374498   20.073236   19.508858   20.082764   19.308865   19.492134    0.62551343    0.2804611     0.14633925    0.10211863    0.089036226   0.19123234     0.066134356   0.051137753    0.035488438   0.069049485   0.07732268     0.07262273    -0.15398400000000123     0.501223999999997     0.08475767542215196    0.059758117048951065   "2QZ J012945.1-285150"                          22.4385977218    -28.8637611598   0.0           0.0           90.0            3       "01 29 45.26345" "-28 51 49.5402" PM*                 "*  |PM*|*"                                                                                             ""            ""         ""                   ""             9.0488   77.3     27.07    ""         ""         ""           19.38    ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.435973  
  SPLUS-s23s19    iDR3.SPLUS-s23s19.046228    28.564494450701485   -28.8819264781154        2.445935     1.0685632    1.7150545   1.4899343    24        4.9961405     0              36.553844     19.997095   19.97925       20.340149      19.779787      19.86605       19.903587   19.833317      19.7136     19.323902      19.552284   19.531366      19.754406   0.055121552   0.0881285        0.25274163       0.11556091       0.120853156      0.041088834   0.098975986      0.03460605    0.030575713      0.040170085    0.10930572       0.088729486    20.127317   20.403671   20.21133    20.027016   20.027813   20.027851   19.817345   19.536606   19.70497    19.815653   19.67815     0.06382814    0.095691994   0.26009285    0.16859484    0.14270502    0.047766697    0.11124079    0.042814422    0.038253933   0.05483069    0.15279174     0.09931582    0.16131599999999935      0.3896979999999992    0.05302088669109302    0.04617848982005441    "[VV2006] J015415.4-285254"                     28.5645090929    -28.8818901552   0.0           0.0           90.0            5       "01 54 15.48218" "-28 52 54.8046" QSO                 "QSO|*  |QSO"                                                                                           207468.1748   1.344      ""                   ""             0.005    -0.63    -0.65    ""         ""         ""           19.4     ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.138669  
  SPLUS-s23s20    iDR3.SPLUS-s23s20.000174    29.633988782449677   -30.28409277206394       2.589534     0.8995247    1.4100912   1.3186401    26        4.626858      0              41.863087     20.237804   20.026854      20.403278      19.847033      20.29636       20.166948   20.09679       19.69199    19.174423      19.608818   19.654099      19.6084     0.06478989    0.093664855      0.20822302       0.11843659       0.16359963       0.049265485   0.11084521       0.032623205   0.025634252      0.037886154    0.08926562       0.065259315    20.495504   20.953794   19.96789    20.83368    20.400822   20.407164   19.923313   19.439688   19.809101   19.800482   19.843355    0.07507381    0.11404328    0.30333006    0.11695278    0.23964638    0.053625863    0.12983137    0.036472145    0.029284304   0.044300593   0.10825993     0.081582986   0.08317200000000113      0.5175669999999997    0.04999634155999558    0.04148961773831532    "[VV2006] J015832.1-301703"                     29.6340235902    -30.2841628249   0.0           0.0           90.0            5       "01 58 32.16566" "-30 17 02.9862" QSO                 "QSO|*  |QSO"                                                                                           209824.1314   1.38       ""                   ""             ""       -1.15    0.4      ""         ""         ""           20.2     ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.274424  
  SPLUS-s23s20    iDR3.SPLUS-s23s20.028661    30.22926062206253    -29.59069575111854       2.8163133    0.97830087   1.5630136   1.436804     26        3.393325      0              40.4685       20.25735    20.062643      19.955513      20.017435      19.935795      20.039722   19.852522      19.673079   19.25756       19.728195   19.687569      19.664      0.066664815   0.09770804       0.14573511       0.13557361       0.121137984      0.04462251    0.090799876      0.03196271    0.026996804      0.041226305    0.09026414       0.06726861     20.356667   20.407059   20.513048   20.334404   20.291452   20.160341   19.886126   19.462355   19.972385   19.899235   19.754066    0.07206383    0.108172916   0.20122105    0.19537935    0.16289438    0.05114926     0.110249445   0.036733948    0.030775547   0.052876435   0.122554466    0.07816164    -0.055115999999998166    0.41551899999999975   0.052165343423552044   0.04183828697208474    "[VV2006] J020055.0-293527"                     30.2293598766    -29.5907014729   0.001         0.001         90.0            5       "02 00 55.04637" "-29 35 26.5253" QSO                 "QSO|*  |QSO"                                                                                           207800.5552   1.349      ""                   ""             0.6534   0.59     2.95     ""         ""         ""           19.72    ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.311396  
  SPLUS-s23s33    iDR3.SPLUS-s23s33.051468    334.1253072836468    -29.01480498338059       4.5215006    2.0163045    1.6876318   1.3040061    16        5.575469      0              20.733814     21.56544    22.45222       21.331045      21.225397      21.343946      20.704802   20.268478      19.776596   17.750317      20.807096   18.880436      19.635506   0.36915305    1.3009527        0.72907174       0.6283499        0.6985514        0.1526625     0.20590258       0.053098608   0.012932267      0.14580694     0.053766638      0.08921374     22.44052    21.512356   20.723785   21.808847   20.74686    20.546635   19.952644   17.950932   20.727314   19.02374    19.817373    0.46618056    1.0884308     0.70144165    0.35075015    0.9252246     0.14935869     0.23914039    0.06136276     0.013622746   0.14115717    0.06011595     0.10169691    -1.0305                  2.0262790000000024    0.15517450152554466    0.054650761214249825   "2QZ J221630.0-290054"                          334.1253655348   -29.0148352312   0.002         0.002         90.0            1       "22 16 30.08773" "-29 00 53.4068" EmG                 "H2G|*  |EmG"                                                                                           83312.2148    0.3303     ""                   ""             ""       ""       ""       ""         ""         ""           20.713   ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.213278  
  SPLUS-s23s35    iDR3.SPLUS-s23s35.032186    337.5076760184757    -29.597960152831284      6.2298436    2.71668      3.2072701   2.8911517    94        5.0917253     2              57.742016     20.539501   19.978352      20.139557      19.908503      19.815239      19.720806   19.70132       19.512299   19.036213      19.522388   19.407738      19.346457   0.07841085    0.083388016      0.17089832       0.11845668       0.1060618        0.03597324    0.07696161       0.027757293   0.024078652      0.036424525    0.06482389       0.053925745    19.77999    19.44002    19.75785    19.303095   19.186714   18.9761     18.826351   18.573631   18.72782    18.581263   18.521637    0.07768149    0.11665461    0.16267858    0.18984473    0.12654886    0.03742376     0.075488545   0.027512787    0.025820369   0.03486261    0.0634864      0.051576063   -0.01008900000000068     0.4760859999999987    0.04579534186097396    0.03674573168171989    "2dFGRS TGS338Z165"                             337.5075833333   -29.5981388889   ""            ""            172.0           1       "22 30 01.82   " "-29 35 53.3   " Galaxy              G                                                                                                       2923.5707     0.0098     ""                   ""             ""       ""       ""       ""         ""         ""           19.231   ""       18.678   ""       ""       ""       ""       ""       ""       ""       ""       0.705834  
  SPLUS-s23s36    iDR3.SPLUS-s23s36.034320    337.50768925239095   -29.59794652431351       6.5376077    3.3202631    3.0794623   2.6534882    79        4.911706      0              52.27438      20.569391   20.184387      19.922333      19.786781      19.891953      19.776003   19.436117      19.565384   19.05913       19.54364    19.486267      19.504734   0.07963651    0.09819254       0.13393433       0.10869933       0.11682979       0.036047056   0.06256368       0.02903172    0.02351233       0.037779897    0.07632343       0.06594865     19.83094    19.611221   19.431313   19.515915   19.248022   19.12275    18.9701     18.587246   18.750404   18.89752    18.672047    0.088652164   0.11194611    0.16883174    0.13149714    0.14271493    0.037017893    0.07972992    0.030106576    0.025596412   0.036527704   0.089640066    0.063608214   0.021744000000001762     0.506254000000002     0.047646210588975585   0.03735867273053608    "2dFGRS TGS338Z165"                             337.5075833333   -29.5981388889   ""            ""            172.0           1       "22 30 01.82   " "-29 35 53.3   " Galaxy              G                                                                                                       2923.5707     0.0098     ""                   ""             ""       ""       ""       ""         ""         ""           19.231   ""       18.678   ""       ""       ""       ""       ""       ""       ""       ""       0.767789  
  SPLUS-s23s38    iDR3.SPLUS-s23s38.022156    342.16886480605274   -29.02058181256939       6.4097204    2.0925844    1.9617233   1.3033712    20        5.198228      0              22.177094     20.908289   20.390566      19.143892      19.04141       19.21373       25.114414   18.966621      19.94726    18.75742       18.857698   18.655655      18.521862   0.3702263     0.34588403       0.17854007       0.17222153       0.18784627       16.84369      0.11524237       0.11286679    0.043165334      0.05717332     0.065876804      0.04894561     21.44627    19.311737   19.099691   19.63948    23.119635   19.130842   20.062317   19.065666   19.130053   18.85316    18.861313    0.17790504    0.73434216    0.16468343    0.14412512    0.2289357     2.309472       0.11183757    0.10456557     0.048937675   0.06044224    0.07543524     0.059855953   1.0895620000000008       1.1898400000000002    0.12652154284834854    0.12083939069788317    "2QZ J224840.6-290113"                          342.1692141449   -29.0204970252   0.0           0.0           90.0            1       "22 48 40.61139" "-29 01 13.7893" Star                "*  |*"                                                                                                 ""            ""         ""                   ""             ""       1.75     -16.83   ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.141294  
  SPLUS-s23s48    iDR3.SPLUS-s23s48.003766    357.50647665269133   -30.18530531379982       13.348226    6.585801     4.663531    3.2085176    107       7.4609494     3              48.21992      20.42384    20.003433      19.685694      20.006023      20.064669      19.803032   19.657238      19.699236   19.254284      19.680553   19.660187      19.526129   0.07973297    0.094621845      0.11934418       0.1410643        0.14801532       0.04226678    0.08048462       0.03663045    0.029827738      0.054127563    0.12713715       0.095318295    18.998508   18.568897   18.768929   18.831644   18.75512    18.522045   18.461716   18.1645     18.313501   18.23176    17.890142    0.08203992    0.08839913    0.107952476   0.11450241    0.11964198    0.037544448    0.07056085    0.030020814    0.026009636   0.04357119    0.0969009      0.06046785    0.01868299999999934      0.4449520000000007    0.06535734804535347    0.047238584032537896   "2dFGRS TGS356Z227"                             357.50625        -30.185          ""            ""            172.0           3       "23 50 01.5    " "-30 11 06     " Galaxy              G                                                                                                       2982.9357     0.01       ""                   ""             ""       ""       ""       0.3        0.23       16           18.357   ""       17.669   ""       ""       ""       ""       ""       ""       ""       ""       1.305967  
