ID RA DEC Redshift
SDSSJ100215.84-001056.2 150.56599 -0.18226843 0.3531285524368286
SDSSJ113424.51+010915.4 173.60214 1.1542757 0.017150087282061577
SDSSJ114607.72-002728.9 176.53216 -0.45802681 0.01305977813899517
SDSSJ003314.83+001203.7 8.3117996 0.20101874 0.013785910792648792
SDSSJ003934.82+005135.6 9.8951018 0.85988943 0.014611596241593361
SDSSJ005959.59-005157.2 14.998308 -0.8658975 0.16633830964565277
SDSSJ005904.11+010004.1 14.767141 1.0011388 0.017820388078689575
SDSSJ010907.97+010715.5 17.283221 1.1209854 0.003895253874361515
SDSSJ012646.58-003845.9 21.694099 -0.64608289 0.006399862933903933
SDSSJ003208.54-005303.8 8.0355773 -0.88438087 1.3410943746566772
SDSSJ002916.81-010021.2 7.3200415 -1.0059017 0.013344253413379192
SDSSJ002951.46+004159.8 7.4644222 0.6999389 0.3146156668663025
SDSSJ004918.54+011308.9 12.327232 1.219143 1.3440120220184326
SDSSJ005541.32-005630.8 13.922146 -0.94188374 0.015030237846076488
SDSSJ005415.56-010456.3 13.564818 -1.0823148 0.015223330818116665
SDSSJ012405.74+005905.0 21.023901 0.984723 0.00687657855451107
SDSSJ012753.05+003817.3 21.97104 0.63815 0.15197719633579254
SDSSJ005712.60-002157.6 14.302516 -0.366003 0.009372380562126637
SDSSJ004335.14-003729.8 10.896403 -0.62495218 -3.840235422103433e-06
SDSSJ003625.39-002907.3 9.1058116 -0.4853652 0.30857253074645996
SDSSJ001435.00-004352.0 3.645817 -0.73112 0.012847534380853176
SDSSJ001428.83-004444.0 3.620113 -0.745546 0.01358651090413332
SDSSJ114526.30+000014.6 176.3596 0.004063787 0.013137465342879295
SDSSJ121214.73+000420.3 183.06137 0.072311613 0.007831381633877754
SDSSJ114818.19-013823.9 177.07581 -1.6399604 0.013033715076744556
SDSSJ120110.29-011746.3 180.29287 -1.2961962 0.004989050794392824
SDSSJ220834.09+003042.7 332.14204 0.51185059 0.013634989969432354
SDSSJ230351.64+010651.0 345.96517 1.1141683 -1.4441603525483515e-05
SDSSJ002507.43+001845.6 6.2809564 0.31267512 0.010906295850872993
